Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
4857,1993-06-23,,15.84,8.66,0.5,0.73,8.36,304,93.8,0.4,,
4857,1993-06-23,,15.81,8.63,0.6,0.73,7.93,333,93.4,0.4,,
4857,1993-06-23,,15.84,8.59,0.7,0.73,8.14,317,93,0.4,,
Gursky,1993-06-25,13:34:00,14.48,8.07,0.2,0.87,8.26,360,83.8,0.5,,
Gursky,1993-06-25,13:35:00,14.48,7.99,0.7,0.87,8.27,359,83,0.5,,
Gursky,1993-06-25,13:35:00,14.48,7.96,0.6,0.87,8.26,361,82.7,0.5,,
Gursky,1993-06-25,13:35:00,14.48,7.94,0.8,0.87,8.28,359,82.4,0.5,,
Gursky,1993-06-25,13:35:00,14.48,7.94,1,0.87,8.29,359,82.4,0.5,,
Gursky,1993-06-25,13:36:00,14.48,7.92,1.3,0.87,8.29,359,82.2,0.5,,
Gursky,1993-06-25,13:36:00,14.48,7.91,1.4,0.87,8.29,359,82.1,0.5,,
Gursky,1993-06-25,13:36:00,14.46,7.89,1.6,0.87,8.28,360,81.9,0.5,,
Gursky,1993-06-25,13:36:00,14.48,7.87,1.8,0.87,8.31,359,81.7,0.5,,
Gursky,1993-06-25,13:36:00,14.46,7.87,2,0.87,8.32,358,81.7,0.5,,
1,1993-07-08,16:21:00,20.84,15.33,0,2.12,9.57,98,1.1,182.3,,
1,1993-07-08,,20.66,15.69,0.2,2.14,8.3,176,1.1,186,,
1,1993-07-08,,20.04,15.82,0.5,2.15,8.29,158,1.1,185.2,,
25,1993-07-08,18:41:00,22.12,13.17,0,1.64,8.59,246,160.3,0.9,,
25,1993-07-08,,22.1,12.69,0.3,1.64,8.28,2.44,154.5,0.9,,
50,1993-07-08,18:25:00,23.68,5.58,0.1,4.13,7.13,261,70.6,2.3,,
60,1993-07-08,18:57:00,22.17,3.21,0,0.11,7.02,245,38.9,0,,
65,1993-07-08,17:20:00,22.37,8.01,0,3.39,8.19,163,1.8,98.6,,
65,1993-07-08,,20.63,6.24,0.3,3.37,8.06,173,1.8,74.2,,
65,1993-07-08,,19.88,5.59,0.6,3.43,8.01,147,1.9,65.5,,
66,1993-07-08,17:05:00,29.39,,0.2,21.3,9.25,204,12.8,,,
67,1993-07-08,15:48:00,25.5,9.78,0,5.02,8.75,217,2.8,127.9,,
67,1993-07-08,,23.57,10.58,0.2,5.97,7.81,107,3.3,126.5,,
86,1993-07-08,18:08:00,20.59,4.61,0,0.34,7.14,214,54.2,0.2,,
86,1993-07-08,,17.47,1.09,0.3,0.36,6.92,169,12.1,0.2,,
90,1993-07-08,17:50:00,23.5,6.5,0,3.35,7.69,209,2.9,82.3,,
4857,1993-07-08,15:12:00,21.45,10.65,0,0.72,8.13,249,0.4,127.8,,
4857,1993-07-08,,21.45,10.61,0.3,0.71,8.44,245,0.4,127.2,,
4857,1993-07-08,,21.45,9.96,0.6,0.72,8.09,186,0.4,117.4,,
Gursky,1993-07-08,14:30:00,19.79,15.68,0,0.81,8.75,256,0.4,182.2,,
Gursky,1993-07-08,,19.84,16.3,1,0.81,8.74,260,0.4,190.1,,
Gursky,1993-07-08,,19.33,14.94,1.5,0.82,8.74,272,0.4,177.3,,
Gursky,1993-07-08,,17.44,10.17,1.7,0.84,8.65,282,0.4,112.3,,
Gursky,1993-07-08,,16.39,11.65,2,0.84,8.49,279,0.4,123.8,,
Gursky,1993-07-08,,15.11,3.85,2.5,0.86,7.28,344,0.4,33.2,,
25,1993-07-21,15:17:00,20.54,11.29,0,1.7,8.02,323,133.7,0.9,,
25,1993-07-21,,19.53,11.52,0.3,1.7,8.06,270,133.7,0.9,,
25,1993-07-21,,18.8,11.11,0.5,1.72,8.03,262,127.1,0.9,,
50,1993-07-21,15:38:00,22.35,11.41,0,4.38,7.46,312,141.4,2.4,,
50,1993-07-21,,19.69,5.2,0.2,4.79,6.88,236,61.3,2.6,,
90,1993-07-21,16:19:00,23.93,9.9,0,6.32,7.94,279,127.3,3.5,,
90,1993-07-21,,22.83,7.23,0.1,7.44,7.52,229,91.4,4.1,,
Gursky,1993-07-21,14:08:00,19.26,10.59,0,0.82,8.55,317,121.9,0.4,,
Gursky,1993-07-21,,19.19,10.04,0.5,0.83,8.57,320,119.5,0.4,,
