Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
90,1994-09-14,12:27:08,14.77,4.39,0.1,16,8.21,114,48.9,9.4,,
109,1994-09-14,11:07:43,14.28,3.36,0.1,0.451,7.03,261,34.9,0.2,,
6642,1994-09-14,11:58:28,15.56,2.09,0.1,1.335,7.72,171,22.3,0.7,,
Gursky,1994-09-14,12:52:27,16.39,11,0,0.923,8.85,209,119.7,0.5,,
Gursky,1994-09-14,12:52:59,16.39,10.88,0.8,0.923,8.87,210,118.4,0.5,,
25,1994-10-11,17:53:54,8.52,10.26,0.1,2.13,8.39,262,93.9,1.1,,
25,1994-10-11,17:54:19,8.51,10.44,0.7,2.01,8.39,238,95.5,1.1,,
25,1994-10-11,17:54:58,8.51,10.22,0.4,2.08,8.4,216,93.6,1.1,,
50,1994-10-11,18:28:20,8.61,10.71,0.2,8.43,8.25,290,100.7,4.7,,
50,1994-10-11,18:28:31,8.66,11.26,0.2,8.42,8.25,290,106,4.7,,
4857,1994-10-11,17:23:33,8.43,9.43,0.1,1.071,8.47,302,85.8,0.6,,
4857,1994-10-11,17:24:18,8.47,9.17,0.4,1.057,8.44,296,83.5,0.6,,
4857,1994-10-11,17:24:47,8.38,9.37,0.2,1.057,8.46,294,85.1,0.6,,
6642,1994-10-11,19:27:42,9.12,8.57,0.3,1.474,8.35,272,79.4,0.8,,
6642,1994-10-11,19:27:48,9.13,8.54,0.3,1.473,8.35,272,79.1,0.8,,
Gursky,1994-10-11,20:05:54,8.36,10.44,0.2,0.968,8.89,270,94.8,0.5,,
Gursky,1994-10-11,20:06:36,8.31,10.36,0.7,0.963,8.89,271,94,0.5,,
Gursky,1994-10-11,20:07:02,8.33,10.31,0.5,0.962,8.89,271,93.6,0.5,,
65,1994-10-12,14:47:03,6.94,9.87,0.4,4.13,8.46,240,87.6,2.3,,
65,1994-10-12,14:48:20,6.52,8.03,0.8,4.19,8.44,234,70.6,2.3,,
65,1994-10-12,14:49:12,6.75,8.74,0.6,4.14,8.46,230,77.2,2.3,,
66,1994-10-12,14:38:12,4.63,8.98,0.5,39.7,9.23,244,87.7,25.4,,
66,1994-10-12,14:38:51,4.65,9.46,0.4,40,9.24,238,92.5,25.6,,
67,1994-10-12,14:14:26,6.45,1.97,0.4,6.14,8.18,236,17.4,3.4,,
67,1994-10-12,14:15:14,6.4,1.59,0.7,6.14,8.18,208,14,3.4,,
86,1994-10-12,15:51:12,4.86,10.1,0.4,0.65,7.89,146,83.9,0.3,,
90,1994-10-12,15:29:43,4.84,7.68,0.4,19.8,8.41,122,69,11.8,,
90,1994-10-12,15:31:16,4.78,6.51,0.4,19.6,8.38,83,58.3,11.6,,
1A,1994-10-12,13:22:01,6.63,10.66,0.4,2.16,8.15,311,93.2,1.2,,
1A,1994-10-12,13:24:33,6.68,8.09,0.9,2.23,8.18,306,70.8,1.2,,
1A,1994-10-12,13:25:26,6.76,9.29,0.7,2.2,8.24,301,81.5,1.2,,
1B,1994-10-12,13:43:38,7.46,10.73,0.4,2.17,8.29,295,95.7,1.2,,
1B,1994-10-12,13:45:11,7.32,8.62,1.1,2.18,8.35,292,76.6,1.2,,
1B,1994-10-12,13:45:51,7.35,9.32,0.8,2.18,8.36,288,82.9,1.2,,
25,1995-05-30,13:25:58,21.03,7,-0.1,1.71,7.95,312,83.8,0.9,,
25,1995-05-30,13:26:17,21.03,6.84,0.4,1.72,7.94,309,81.9,0.9,,
50,1995-05-30,15:51:51,25.24,8.94,0,5.37,8.26,340,117.5,3,,
65,1995-05-30,14:44:27,21.63,9.12,-0.1,3.04,8.11,350,111,1.6,,
65,1995-05-30,14:44:45,21.61,8.71,0.4,3.03,8.1,347,106,1.6,,
66,1995-05-30,15:00:38,24.65,10.25,0,26.2,8.56,326,144.3,16,,
67,1995-05-30,14:04:30,21.33,5.63,0,4.91,8.01,254,68.6,2.7,,
4857,1995-05-30,12:17:21,20.7,8.36,-0.1,0.946,8.22,397,99.2,0.5,,
4857,1995-05-30,12:18:14,20.66,7.86,0.4,0.946,8.15,368,93.1,0.5,,
1B,1995-05-30,11:26:19,19.71,7.66,-0.1,1.96,7.94,454,89.4,1,,
1B,1995-05-30,11:27:09,19.62,7.52,0.6,1.96,7.89,437,87.7,1,,
37,1995-05-31,9:31:07,17.1,4.47,-0.1,0.22,7.69,329,49.1,0.1,,
86,1995-05-31,11:20:49,16.96,5.41,0,0.624,8.36,253,59.4,0.3,,
90,1995-05-31,10:54:51,17.5,5.98,0,10.39,8.2,207,69,5.9,,
109,1995-05-31,12:19:37,19.91,4.77,0,0.399,7.45,323,55.6,0.2,,
6642,1995-05-31,10:16:21,17.86,4.25,0,1.237,8.01,342,47.7,0.7,,
Gursky,1995-05-31,12:54:43,17.27,7.2,0,0.877,8.75,343,79.6,0.5,,
Gursky,1995-05-31,12:55:09,17.06,4.83,0.5,0.872,8.74,341,53.2,0.5,,
25,1995-06-20,10:35:21,20.89,3.93,0,1.83,7.89,231,47.1,1,,
25,1995-06-20,10:35:44,20.91,3.87,0.1,1.84,7.89,228,46.4,1,,
50,1995-06-20,14:32:02,24.26,11.13,0.1,6.17,7.94,349,144.3,3.4,,
50,1995-06-20,14:32:08,24.26,11.14,0.1,6.17,7.94,332,144.6,3.4,,
65,1995-06-20,11:33:32,20.8,8.15,0,3.15,8.39,232,97.9,1.7,,
65,1995-06-20,11:34:25,20.8,8.15,0.3,3.16,8.38,199,97.9,1.7,,
66,1995-06-20,11:25:23,19.59,9.6,0,31.1,8.75,287,125.5,19.3,,
66,1995-06-20,11:25:54,19.64,9.48,0.1,31.9,8.76,271,124.5,19.9,,
67,1995-06-20,11:01:04,20.4,7.47,0,5.46,8.14,255,89.7,3,,
67,1995-06-20,11:02:11,20.49,6.67,0,5.25,8.13,219,80.3,2.9,,
90,1995-06-20,12:58:29,24.26,9.29,0,11.33,8.21,319,122.9,6.5,,
109,1995-06-20,12:35:43,24.35,12.46,0,0.374,8.15,290,158.6,0.2,,
4857,1995-06-20,10:15:15,20.61,4.68,0,0.981,7.7,186,55.5,0.5,,
4857,1995-06-20,10:15:38,20.66,4.65,0.2,0.978,7.7,175,55.3,0.5,,
6642,1995-06-20,13:16:16,21.63,7.74,0,1.335,8.02,272,93.9,0.7,,
6642,1995-06-20,13:16:27,21.57,7.77,0.1,1.332,8.01,266,94.1,0.7,,
1A,1995-06-20,9:24:24,21.68,5.26,0.2,2.01,7.7,239,64,1.1,,
1A,1995-06-20,9:51:31,21.24,5.52,0,2.03,7.76,316,66.6,1.1,,
1B,1995-06-20,9:52:17,21.24,5.5,0.8,2.05,7.76,301,66.4,1.1,,
1B,1995-06-20,9:52:46,21.2,5.58,0.3,2.06,7.76,293,67.3,1.1,,
Gursky,1995-06-20,14:01:25,21.82,5.9,0.1,0.904,8.22,329,71.7,0.5,,
Gursky,1995-06-20,14:01:41,21.82,5.83,0.2,0.905,8.22,328,70.9,0.5,,
25,1995-07-12,15:06:18,25.46,12.38,0,1.82,8.81,248,161.7,1,,
25,1995-07-12,15:06:34,25.42,12.37,0,1.83,8.81,249,161.3,1,,
50,1995-07-12,14:40:13,26.49,7.54,0,7.19,8.01,232,102.3,4,,
50,1995-07-12,14:41:50,26.45,9.55,0,7.21,8.01,244,129.5,4,,
65,1995-07-12,10:55:20,22.07,7.8,0,2.25,8.8,86,95.7,1.2,,
65,1995-07-12,10:55:59,22.05,7.63,0,3.25,8.8,86,94,1.8,,
66,1995-07-12,10:44:07,21.36,6.63,0,23.58,9.77,83,87,14.2,,
66,1995-07-12,10:44:41,21.4,6.88,0,12.07,9.78,88,86.4,6.9,,
67,1995-07-12,10:04:32,22,3.71,0,5.6,8.44,125,46,3.1,,
67,1995-07-12,10:05:08,22.09,3.62,0,5.28,8.44,131,44.9,2.9,,
90,1995-07-12,11:43:52,19.48,9.12,0,0.004,10.11,227,105.5,0,,
90,1995-07-12,11:47:26,23.88,6.59,0,5.64,8.36,208,84.7,3.1,,
90,1995-07-12,11:48:57,24.35,7.89,0,4.63,8.32,112,101.9,2.5,,
4857,1995-07-12,9:37:46,20.98,5.78,0,0.919,8.47,205,69.1,0.5,,
6642,1995-07-12,12:23:51,23.41,6.24,0,0.46,8.26,175,78,0.2,,
6642,1995-07-12,12:26:56,23.66,5.53,0,1.405,8.21,213,69.7,0.7,,
1A,1995-07-12,13:53:22,23.82,8.07,0,1.98,8.39,204,102.2,1.1,,
1A,1995-07-12,13:54:20,23.75,7.96,0.4,2.11,8.39,164,100.8,1.1,,
1B,1995-07-12,13:31:11,23.54,8.18,0.5,2.1,8.38,120,103.2,1.1,,
Gursky,1995-07-12,15:43:49,24.5,10.51,0,0.87,8.86,241,134.3,0.5,,
Gursky,1995-07-12,15:45:03,24.19,11.11,0.4,0.869,8.87,245,141.2,0.5,,
25,1995-07-25,15:45:04,23.75,15.61,0,1.97,9.05,159,195.5,1.1,,
50,1995-07-25,15:21:24,21.61,9.22,0,7.89,7.99,200,113.3,4.4,,
65,1995-07-25,14:21:53,22.14,12.05,0,3.42,9.31,119,147.2,1.9,,
66,1995-07-25,14:09:23,28.94,11.94,-0.1,40.5,9.62,20,194.7,25.9,,
66,1995-07-25,14:17:11,21.45,10.98,0,0.283,9.8,129,130.8,0.1,,
67,1995-07-25,13:32:02,20.57,7.63,0,6.15,8.66,139,91.2,3.4,,
4857,1995-07-25,12:35:07,22.83,14.62,0,0.933,9.34,268,179.3,0.5,,
4857,1995-07-25,12:36:02,23.08,13.19,0,0.933,9.42,271,162.5,0.5,,
6642,1995-07-25,12:07:17,19.43,6.5,0,1.46,8.21,318,74.7,0.8,,
1A,1995-07-25,10:45:56,19.41,8.89,0,2.14,8.48,247,102.4,1.1,,
1A,1995-07-25,10:47:26,19.29,9.38,0.5,2.17,8.48,238,107.8,1.2,,
1B,1995-07-25,10:16:10,19.9,9.52,0,2.16,8.48,306,110.8,1.2,,
1B,1995-07-25,10:17:18,19.76,8.48,0.5,2.2,8.44,250,98.4,1.2,,
Gursky,1995-07-25,11:30:14,20.66,10.36,0,0.914,8.91,317,121.8,0.5,,
Gursky,1995-07-25,11:32:28,20.59,10.76,0.5,0.912,8.92,317,126.3,0.5,,
25,1995-08-14,14:59:37,21.02,99999,0,2,9.1,84,99999,1.1,,
50,1995-08-14,15:25:45,20.22,7.46,0,7.14,8.04,141,90.7,4,,
65,1995-08-14,11:00:25,15.19,8.6,0,3.44,9.15,-2,93,1.9,,
65,1995-08-14,11:00:38,15.19,8.57,0,3.57,9.15,-4,92.8,1.9,,
66,1995-08-14,11:09:35,15.35,9.81,0,32.8,9.62,-35,119.7,20.5,,
67,1995-08-14,10:25:46,14.56,8.4,0,6.19,8.67,72,90.6,3.4,,
90,1995-08-14,13:47:45,21.72,8.65,0,9.96,8.47,-36,109.6,5.6,,
4857,1995-08-14,9:58:44,13.99,7,-0.1,1.071,8.2,16,73.2,0.6,,
6642,1995-08-14,14:14:13,19.96,8.74,0,1.424,8.31,111,103.6,0.8,,
1A,1995-08-14,13:10:59,17.13,12.09,0,2.34,8.62,17,135.7,1.3,,
1A,1995-08-14,13:12:59,16.5,8.73,0.5,2.24,8.52,-40,96.7,1.2,,
1B,1995-08-14,12:58:09,16.14,9.08,0,2.38,8.58,48,99.9,1.3,,
Gursky,1995-08-14,16:38:18,17.73,9.55,0,0.947,9.17,134,108.1,0.5,,
Gursky,1995-08-14,16:39:24,16.57,8.56,0.5,0.934,9.15,135,94.5,0.5,,
25,1995-08-28,10:43:08,16.87,8.36,0.1,2.18,9,187,93.3,1.2,,
25,1995-08-28,10:43:50,16.71,8.56,0.6,2.05,9.03,104,95.2,1.1,,
65,1995-08-28,11:33:30,17.29,9.33,0.1,3.77,9.33,57,105.7,2.1,,
65,1995-08-28,11:37:04,17.19,9.46,0.6,3.77,9.37,23,107,2.1,,
66,1995-08-28,11:51:01,17.61,12.15,0.1,37.8,9.52,45,158.6,24,,
67,1995-08-28,11:17:36,17.28,9.41,0.1,6.51,8.91,126,107.6,3.6,,
667,1995-08-28,11:18:05,17.26,9.28,0.4,6.48,8.91,109,106.1,3.6,,
4857,1995-08-28,10:10:20,16.52,8.76,0.1,1.128,8.53,71,96.6,0.6,,
4857,1995-08-28,10:10:55,16.4,8.84,0.5,1.129,8.5,15,97.3,0.6,,
6642,1995-08-28,13:57:58,18.94,9.32,0.1,1.527,8.36,232,108.3,0.8,,
1A,1995-08-28,13:28:48,18.4,11.69,0.1,2.34,9.09,214,134.7,1.3,,
1A,1995-08-28,13:30:03,18.38,12.8,0.5,2.37,9.13,199,147.5,1.3,,
1B,1995-08-28,13:04:46,17.77,10.96,0.1,2.31,9,191,124.7,1.2,,
1B,1995-08-28,13:05:14,17.78,11.33,0.7,2.31,9.02,176,128.9,1.2,,
Gursky,1995-08-28,14:44:10,18.45,10.66,0.1,0.936,9.24,195,122.4,0.5,,
Gursky,1995-08-28,14:44:42,18.48,10.61,0.6,0.937,9.27,190,121.8,0.5,,
25,1995-09-12,12:04:13,17.92,10.68,0,2.12,8.85,230,112.3,1.1,,
25,1995-09-12,12:06:49,17.95,11.08,0.4,2.13,8.86,174,116.7,1.1,,
65,1995-09-12,11:02:32,17.07,8.99,0,3.72,8.97,224,93.4,2,,
65,1995-09-12,11:02:47,17.07,8.93,0.1,3.72,8.98,218,92.8,2,,
66,1995-09-12,10:48:14,16.17,8.6,-0.1,41,9.1,216,102,26.3,,
67,1995-09-12,10:22:41,17.09,6.67,0,6.4,8.53,206,70.1,3.5,,
4857,1995-09-12,13:46:41,18.14,13.08,0,1.053,4.38,232,137.7,0.6,,
6642,1995-09-12,9:36:47,15.64,4.94,0,1.52,7.93,316,49.4,0.8,,
1A,1995-09-12,12:48:11,17.97,11.98,0,2.19,8.96,272,126.2,1.2,,
1A,1995-09-12,12:53:36,17.97,10.39,0.4,2.12,8.98,227,109.4,1.1,,
1B,1995-09-12,12:33:47,17.43,9.72,0,2.2,8.73,253,101.3,1.2,,
1B,1995-09-12,12:34:13,17.33,9.65,0.5,2.2,8.77,251,100.3,1.2,,
Gursky,1995-09-12,14:36:42,17.87,8.39,0,0.892,3.85,367,87.8,0.5,,
Gursky,1995-09-12,14:38:41,17.8,8.91,0.5,0.89,3.9,357,93.1,0.5,,
25,1995-10-17,12:19:15,5.92,11.18,0,2.4,8.55,350,95.9,1.3,,
25,1995-10-17,12:19:29,5.93,11.07,0.3,2.39,8.54,349,95,1.3,,
65,1995-10-17,13:11:51,5.9,11.39,0.1,4.23,8.98,277,98.3,2.3,,
65,1995-10-17,13:12:15,5.92,11.38,0,4.2,8.92,277,98.3,2.3,,
66,1995-10-17,13:01:23,5.98,10.05,0.1,43.2,8.81,320,102.9,27.8,,
67,1995-10-17,12:46:19,6.13,11.26,0,7.07,8.55,330,98.9,3.9,,
4857,1995-10-17,11:05:29,5.27,11.43,0,1.147,8.18,452,96,0.6,,
6642,1995-10-17,13:47:13,6.41,12.18,0,1.79,8.05,301,105.5,1,,
1A,1995-10-17,11:37:11,6.97,10.5,0,2.31,8.51,350,92.4,1.2,,
1A,1995-10-17,11:37:33,6.98,10.44,0.5,2.29,8.55,349,91.9,1.2,,
1B,1995-10-17,11:21:25,6.72,10.53,0.1,2.29,7.95,379,92.1,1.2,,
1B,1995-10-17,11:22:00,6.74,10.42,0.5,2.26,8.08,368,91.2,1.2,,
Gursky,1995-10-17,14:10:32,7.46,11.4,0,0.943,8.8,314,101.1,0.5,,
Gursky,1995-10-17,14:11:07,7.39,11.1,0.6,0.944,8.82,314,98.3,0.5,,
25,1996-05-08,13:58:58,5.34,11.37,0,0.659,7.85,215,94.1,0.3,,
25,1996-05-08,13:59:46,5.18,11.14,0.5,0.65,7.86,226,91.8,0.3,,
65,1996-05-08,15:20:56,4.63,13.94,0,1.266,8.29,161,113.5,0.7,,
65,1996-05-08,15:21:34,4.63,13.6,0.6,1.278,8.3,129,110.8,0.7,,
66,1996-05-08,15:34:47,5.21,12.32,0,14.73,9.11,171,107.6,8.5,,
66,1996-05-08,15:35:08,5.21,12.22,0.1,14.72,9.12,173,106.7,8.5,,
67,1996-05-08,14:45:45,5.64,13.68,0,2.35,8.15,209,114.9,1.3,,
67,1996-05-08,14:46:10,5.64,13.44,0.2,2.3,8.19,199,112.8,1.2,,
4857,1996-05-08,13:02:40,4.46,12.49,0,0.58,8.1,329,101,0.3,,
4857,1996-05-08,13:03:12,4.48,12.48,0.2,0.581,8.11,259,101,0.3,,
37,1996-05-09,14:16:30,8.54,7.99,0,0.154,7.57,265,71.4,0.1,,
37,1996-05-09,14:16:53,7.66,7.91,0.4,0.143,7.56,266,69.3,0.1,,
50,1996-05-09,14:35:33,9.03,12.06,0,1.031,7.67,261,109.6,0.5,,
50,1996-05-09,14:36:00,8.95,11.99,0.2,1.032,7.72,260,108.7,0.5,,
60,1996-05-09,14:55:38,10.24,8.28,0,0.164,7.79,265,77.1,0.1,,
60,1996-05-09,14:56:33,7.77,7.23,0.2,0.161,7.69,269,63.5,0.1,,
86,1996-05-09,10:55:34,5.69,10.72,0,0.249,7.67,248,89.4,0.1,,
86,1996-05-09,10:56:04,5.52,10.59,0.4,0.253,7.72,250,87.9,0.1,,
90,1996-05-09,10:21:35,5.44,10.34,0,3.54,8.06,248,86.7,1.9,,
90,1996-05-09,10:22:17,5.61,9.86,0.2,3.56,8.06,192,83.1,1.9,,
109,1996-05-09,13:39:58,8.11,9.65,0,0.266,7.39,261,85.5,0.1,,
109,1996-05-09,13:40:20,8.1,9.56,0.2,0.265,7.39,261,84.6,0.1,,
6642,1996-05-09,9:41:21,4.13,12.71,0.1,0.561,8.23,280,101.9,0.3,,
6642,1996-05-09,9:42:02,4.11,12.47,0.3,0.563,8.23,276,100,0.3,,
1A,1996-05-09,11:37:16,5.92,11.52,0.6,0.966,8.08,267,96.9,0.5,,
1A,1996-05-09,11:37:31,5.92,11.46,0.6,0.965,8.08,267,96.4,0.5,,
1B,1996-05-09,12:10:18,7.33,11.52,0,0.96,8.11,266,100.3,0.5,,
1B,1996-05-09,12:11:19,7.2,11.28,0.6,0.958,8.13,266,97.9,0.5,,
25,1996-06-10,16:19:09,23.54,3.39,0,0.891,7.81,322,42.4,0.5,,
25,1996-06-10,16:19:49,23.37,3.09,0.6,0.892,7.73,272,38.5,0.5,,
37,1996-06-10,17:20:46,26.24,5.8,0,0.169,7.82,296,76,0.1,,
37,1996-06-10,17:21:58,20.17,0.95,0.5,0.181,7.41,281,11.1,0.1,,
50,1996-06-10,16:56:11,25.48,8.03,0,1.99,8.04,231,104.4,1.1,,
50,1996-06-10,16:57:06,24.65,5.78,0.4,2.06,7.92,130,74.2,1.1,,
4857,1996-06-10,14:45:34,23.1,6.22,0,0.823,7.87,243,77.2,0.4,,
4857,1996-06-10,14:46:00,23.1,6.17,0.4,0.823,7.85,200,76.5,0.4,,
1A,1996-06-10,15:12:05,22.25,7.73,0,1.144,8.06,315,94.3,0.6,,
1A,1996-06-10,15:12:43,22.28,7.58,0.7,1.133,8.04,315,92.6,0.6,,
1B,1996-06-10,15:37:14,22.46,8.61,0,1.13,8.17,325,105.6,0.6,,
1B,1996-06-10,15:38:01,22.33,8.75,0.5,1.134,8.14,288,107,0.6,,
60,1996-06-11,9:32:28,18.08,1.93,0,0.213,7.23,325,21.7,0.1,,
60,1996-06-11,9:33:07,17.71,1.11,0.1,0.208,6.99,312,12.3,0.1,,
65,1996-06-11,10:14:04,21.01,7.54,0,1.78,8.44,282,90.1,0.9,,
65,1996-06-11,10:14:25,21.03,7.46,0.5,1.78,8.44,264,89.2,0.9,,
66,1996-06-11,10:21:37,20.92,6.61,0,14.9,8.77,203,82.8,8.7,,
66,1996-06-11,10:22:10,20.91,6.5,0.3,15.3,8.78,157,81.6,8.9,,
67,1996-06-11,9:59:59,21.36,2.83,0,3,7.78,272,34.2,1.6,,
67,1996-06-11,10:00:29,21.34,2.65,0.5,3.01,7.8,203,32,1.6,,
86,1996-06-11,12:37:36,20.49,3.4,0,0.334,7.94,275,40,0.2,,
86,1996-06-11,12:38:10,20.24,2.65,0.5,0.33,7.71,279,31,0.2,,
90,1996-06-11,12:13:56,21.84,3.41,0,5.84,7.93,129,42.1,3.2,,
90,1996-06-11,12:14:23,21.85,3.1,0.1,5.84,7.93,123,38.2,3.2,,
109,1996-06-11,11:12:13,21.19,4.1,0,0.309,7.74,158,48.9,0.2,,
109,1996-06-11,11:12:56,20,2.43,0.2,0.309,7.45,159,28.3,0.2,,
6642,1996-06-11,11:37:56,21.4,6.09,0,0.754,7.84,277,73.1,0.4,,
6642,1996-06-11,11:37:59,21.38,6.09,0.4,0.755,7.83,277,73,0.4,,
6642,1996-06-11,11:38:20,21.38,6.06,0.4,0.752,7.82,269,72.6,0.4,,
Gursky,1996-06-11,13:06:48,20.7,7.19,0.6,0.714,8.64,274,85,0.4,,
25,1996-07-09,15:19:21,22.32,4.43,0,1.174,7.82,358,53.9,0.6,,
25,1996-07-09,15:20:21,21.63,2.89,0.5,1.178,7.72,355,34.7,0.6,,
37,1996-07-09,15:50:28,22.01,2.7,0,0.249,7.64,337,32.5,0.1,,
37,1996-07-09,15:51:41,20.47,1.27,0.4,0.252,7.35,333,14.9,0.1,,
50,1996-07-09,16:09:01,25.2,7.7,0,2.85,7.83,303,99.5,1.5,,
50,1996-07-09,16:09:32,24.44,7.48,0.2,2.84,7.86,272,95.3,1.5,,
60,1996-07-09,16:35:18,20.54,5.58,0,0.237,7.56,305,65.3,0.1,,
60,1996-07-09,16:35:47,18.16,4.43,0.2,0.243,7.29,296,49.4,0.1,,
4857,1996-07-09,14:22:57,20.98,5.22,0,0.927,7.77,359,61.8,0.5,,
4857,1996-07-09,14:23:34,20.71,4.76,0.5,0.929,7.73,358,56,0.5,,
1A,1996-07-09,14:46:30,21.08,12.63,0,1.52,8.32,336,150.2,0.8,,
1A,1996-07-09,14:46:57,21.05,12.64,0.6,1.54,8.32,331,150.2,0.8,,
1B,1996-07-09,14:58:18,21.68,12.64,0,1.56,8.38,337,152,0.8,,
1B,1996-07-09,14:59:27,21.63,12.94,0.7,1.5,8.4,336,155.5,0.8,,
65,1996-07-10,10:41:20,18.92,2.53,0,2.28,8.29,230,28.8,1.2,,
65,1996-07-10,10:41:49,18.95,2.31,0.5,2.27,8.15,171,26.4,1.2,,
66,1996-07-10,10:35:34,18.18,10,0.1,15.7,9.75,214,118.4,9.2,,
66,1996-07-10,10:36:36,18.2,9.85,0.4,15.7,9.76,196,116.6,9.2,,
67,1996-07-10,10:26:01,18.99,5.26,0,3.47,7.96,267,60.4,1.9,,
67,1996-07-10,10:27:03,18.98,4.26,0.4,3.48,7.98,160,48.9,1.9,,
86,1996-07-10,10:06:38,17.06,2.14,0.1,0.39,7.81,178,23.4,0.2,,
86,1996-07-10,10:07:12,17.03,1.41,0.5,0.368,7.63,184,15.4,0.2,,
90,1996-07-10,9:55:00,18.45,4.49,0,6.97,8.19,112,51.7,3.9,,
90,1996-07-10,9:55:26,18.45,4.14,0.2,6.97,8.23,93,47.7,3.9,,
109,1996-07-10,9:14:31,16.24,3.78,0,0.308,7.07,290,40.5,0.1,,
109,1996-07-10,9:15:19,16.24,0.94,0.3,0.309,6.96,276,10,0.2,,
6642,1996-07-10,9:40:38,17.82,3.35,0.1,0.864,7.63,301,37.2,0.4,,
6642,1996-07-10,9:41:02,17.81,3.16,0.4,0.867,7.61,274,35.1,0.5,,
Gursky,1996-07-10,11:25:15,19.24,5.18,0,0.819,8.56,268,59.3,0.4,,
Gursky,1996-07-10,11:25:36,19.26,5.09,0.7,0.814,8.55,268,58.2,0.4,,
25,1996-08-13,14:12:22,19.9,2.59,0,3.42,7.77,369,32.2,1.9,,
25,1996-08-13,14:12:47,19.84,2.49,0.1,3.55,7.77,369,30.9,1.9,,
37,1996-08-13,15:21:07,21.36,4.87,0,0.36,7.71,353,61.7,0.2,,
37,1996-08-13,15:21:48,20.49,4.1,0.4,0.352,7.59,354,51.1,0.2,,
50,1996-08-13,14:55:51,21.19,9.73,0.1,3.79,8.14,352,124.5,2.1,,
50,1996-08-13,14:56:18,21.12,9.72,0.3,3.64,8.13,352,124.1,2,,
60,1996-08-13,15:49:20,22.82,5.25,0,0.285,7.37,375,68.4,0.1,,
60,1996-08-13,15:50:05,19.04,2.5,0.1,0.319,7.02,357,30.2,0.2,,
4857,1996-08-13,13:10:52,19.62,7.95,0,1.009,8.56,414,97.6,0.5,,
4857,1996-08-13,13:11:27,19.6,8.06,0.4,1.012,8.57,404,98.9,0.5,,
1A,1996-08-13,13:29:20,19.88,7.84,0,0.63,8,379,96.6,0.3,,
1A,1996-08-13,13:30:01,19.67,8.05,0.7,1.68,7.95,382,99.2,0.9,,
1B,1996-08-13,13:47:58,20.16,6.06,0,0.841,7.97,365,75.1,0.4,,
1B,1996-08-13,13:48:34,20.1,5.78,0.6,1.7,7.94,363,71.8,0.9,,
25A,1996-08-13,14:27:22,20.19,4.01,0,1.408,7.87,362,49.8,0.7,,
25A,1996-08-13,14:28:03,20.14,3.93,0.5,1.417,7.82,365,48.8,0.7,,
Gursky,1996-08-13,16:11:33,20.07,8.38,0,0.842,8.72,323,103.8,0.4,,
Gursky,1996-08-13,16:12:30,19.71,7.16,0.7,0.842,8.7,324,87.9,0.4,,
65,1996-08-14,9:28:48,19.39,6.5,0.1,0.93,8.16,350,79.4,0.5,,
65,1996-08-14,9:29:39,19.16,6.29,0.6,2.7,8.15,349,77,1.5,,
66,1996-08-14,9:39:14,18.44,6.32,0.1,18.8,10.04,290,81,11.1,,
66,1996-08-14,9:39:55,18.45,6.25,0.3,19.3,10.04,289,80.3,11.4,,
67,1996-08-14,9:16:27,19.38,3.74,0.1,4,8.08,363,46.2,2.2,,
67,1996-08-14,9:16:50,19.21,3.58,0.6,4.09,8.08,360,44.1,2.2,,
86,1996-08-14,11:09:24,17.71,5.66,0,0.428,7.96,198,66.7,0.2,,
86,1996-08-14,11:10:14,16.8,4,0.5,0.442,7.57,204,46.2,0.2,,
90,1996-08-14,10:40:18,20.12,3.02,0.1,9.41,8.13,297,38.6,5.3,,
90,1996-08-14,10:41:21,19.22,2.56,0.2,9.47,8.12,246,32.1,5.3,,
106,1996-08-14,11:31:48,16.58,3.1,0,0.392,7.53,243,35.7,0.2,,
106,1996-08-14,11:32:37,16.26,2.34,0.3,0.383,7.25,235,26.7,0.2,,
6642,1996-08-14,10:15:12,19.38,3.25,0.1,1.059,8.17,292,39.8,0.6,,
6642,1996-08-14,10:16:42,19,2.09,0.3,1.048,7.98,259,25.3,0.5,,
25,1996-09-18,14:25:51,13.93,7.44,0,1.502,8.13,320,75.9,0.8,,
25,1996-09-18,14:26:08,13.85,7.41,0.6,1.52,8.12,317,75.4,0.8,,
37,1996-09-18,14:57:23,14.65,10.1,0,0.386,7.8,294,104.2,0.2,,
37,1996-09-18,14:58:08,14.43,8.54,0.3,0.393,7.73,296,87.6,0.2,,
50,1996-09-18,15:13:36,14.65,8.66,0,4.34,8.1,323,90.6,2.4,,
50,1996-09-18,15:14:12,14.65,8.4,0.2,4.35,8.1,314,87.9,2.4,,
90,1996-09-18,16:09:21,15.48,8.91,0,10.52,8.35,219,97.2,6,,
90,1996-09-18,16:09:48,15.43,8.58,0.1,10.54,8.37,204,93.5,6,,
109,1996-09-18,15:47:46,13.83,5.8,0,0.401,7.82,297,58.8,0.2,,
4857,1996-09-18,13:16:47,13.63,9.5,0,1.057,8.49,286,96.1,0.6,,
4857,1996-09-18,13:17:34,13.65,9.18,0.3,1.061,8.51,189,92.8,0.6,,
1A,1996-09-18,13:34:18,14.03,12.23,0,1.61,8.54,258,125,0.9,,
