Pond,Date,Water_level_m,Year
50,12-Sep,Not Sampled,1995
50,17-Oct,Not Sampled,1995
65,30-May,0.52,1995
65,20-Jun,0.57,1995
65,12-Jul,0.615,1995
65,25-Jul,0.65,1995
65,14-Aug,0.61,1995
65,28-Aug,0.65,1995
65,12-Sep,0.7,1995
65,17-Oct,0.73,1995
66,30-May,1.12,1995
66,20-Jun,1.165,1995
66,12-Jul,1.21,1995
66,25-Jul,1.23,1995
66,14-Aug,1.1,1995
66,28-Aug,1.187,1995
66,12-Sep,1.24,1995
66,17-Oct,1.24,1995
67,30-May,0.225,1995
67,20-Jun,0.39,1995
67,12-Jul,0.43,1995
67,25-Jul,0.46,1995
67,14-Aug,0.48,1995
67,28-Aug,0.47,1995
67,12-Sep,0.52,1995
67,17-Oct,0.54,1995
86,31-May,1.02,1995
86,20-Jun,1.15,1995
90,31-May,0.96,1995
90,20-Jun,1.02,1995
90,12-Jul,1.065,1995
90,25-Jul,1.075,1995
90,14-Aug,0.97,1995
90,28-Aug,Not Sampled,1995
90,12-Sep,Not Sampled,1995
90,17-Oct,Not Sampled,1995
109,31-May,0.894,1995
109,20-Jun,1.05,1995
109,12-Jul,1.26,1995
109,25-Jul,1.35,1995
4857,30-May,0.55,1995
4857,20-Jun,0.625,1995
4857,12-Jul,0.68,1995
4857,25-Jul,0.35,1995
4857,14-Aug,0.89,1995
4857,28-Aug,0.72,1995
4857,12-Sep,0.78,1995
4857,17-Oct,0.81,1995
6642,31-May,No Bar,1995
6642,20-Jun,No Bar,1995
6642,12-Jul,No Bar,1995
6642,25-Jul,No Bar,1995
6642,14-Aug,No Bar,1995
6642,28-Aug,No Bar,1995
6642,12-Sep,No Bar,1995
6642,17-Oct,No Bar,1995
Gursky's,31-May,No Bar,1995
Gursky's,20-Jun,No Bar,1995
Gursky's,12-Jul,No Bar,1995
Gursky's,25-Jul,No Bar,1995
Gursky's,14-Aug,No Bar,1995
Gursky's,28-Aug,No Bar,1995
Gursky's,12-Sep,No Bar,1995
Gursky's,17-Oct,No Bar,1995
1A,09-May,No Bar,1996
1A,10-Jun,No Bar,1996
1A,09-Jul,No Bar,1996
1A,13-Aug,No Bar,1996
1A,18-Sep,No Bar,1996
1A,15-Oct,No Bar,1996
1B,09-May,0.21,1996
1B,10-Jun,0.175,1996
1B,09-Jul,0.66,1996
1B,13-Aug,0.745,1996
1B,18-Sep,0.845,1996
1B,15-Oct,0.89,1996
25,08-May,0.527,1996
25,10-Jun,0.375,1996
25,09-Jul,0.38,1996
25,13-Aug,0.6,1996
25,18-Sep,0.72,1996
25,15-Oct,0.75,1996
37,09-May,0.31,1996
37,10-Jun,0.65,1996
37,09-Jul,0.675,1996
37,13-Aug,0.44,1996
37,18-Sep,0.62,1996
37,15-Oct,0.66,1996
50,09-May,0.27,1996
50,10-Jun,0.235,1996
50,09-Jul,0.15,1996
50,13-Aug,0.32,1996
50,18-Sep,0.41,1996
50,15-Oct,0.44,1996
60,09-May,0.56,1996
60,11-Jun,0.61,1996
60,09-Jul,0.6,1996
60,13-Aug,0.785,1996
65,08-May,0.375,1996
65,11-Jun,0.35,1996
65,10-Jul,0.235,1996
65,14-Aug,0.32,1996
65,19-Sep,0.4,1996
65,15-Oct,0.4,1996
66,08-May,0.93,1996
66,11-Jun,0.88,1996
66,10-Jul,0.83,1996
66,14-Aug,0.92,1996
66,19-Sep,1,1996
66,15-Oct,1.01,1996
67,08-May,0.775,1996
67,11-Jun,0.725,1996
67,10-Jul,0.605,1996
67,14-Aug,0.7,1996
67,19-Sep,0.78,1996
67,15-Oct,0.79,1996
86,09-May,0.53,1996
86,11-Jun,0.55,1996
86,10-Jul,0.46,1996
86,14-Aug,0.685,1996
86,19-Sep,0.93,1996
86,16-Oct,1.03,1996
90,09-May,0.78,1996
90,11-Jun,0.72,1996
90,10-Jul,0.72,1996
90,14-Aug,0.75,1996
90,18-Sep,0.81,1996
90,16-Oct,0.83,1996
109,09-May,0.655,1996
109,11-Jun,0.67,1996
109,10-Jul,0.575,1996
109,14-Aug,0.795,1996
109,18-Sep,1.07,1996
