"","Sample","Pond","Date","Month","Year","Julianday","Time","TDS_mg.L","Cond_uS.cm","TOC_mg.L","DOC_mg.L","HCO3_mg.L","CO3_mg.L","FreeCO2_mg.L","POC_mg.L","NO3NO2_mg.L","NH3_tot_mg.L","NH3_union_mg.L","TN_mg.L","DN_mg.L","PN_mg.L","OH_mg.L","F_diss_mg.L","Alk_tot_mg.L","Alk_p_mg.L","pH","Hard_tot_mg.L","Hard_nonCO3_mg.L","Na_diss_mg.L","Na_perc","Mg_diss_mg.L","SiO2_mg.L","P_diss_ortho_mg.L","P_tot_mg.L","P_diss_mg.L","P_part_mg.L","SO4_diss_mg.L","Cl_diss_mg.L","K_diss_mg.L","Ca_diss_mg.L","PCPN","PCPP","PNPP","Chla_mg.L"
"292","950579","25",1995-06-20,"June",1995,171,"10:35",1379.82,NA,34.83,34.5,493.7,0,18.76,0.332,0.001,0.182,NA,2.354,2.3,0.054,0,0.12,405,0,7.62,906.2,501.2,79.1,14.6,154,20.9,0.391,0.497,0.481,0.016,673,22.6,78.1,109,7.2,53.5,7.5,3.2
"293","950724","25",1995-07-12,"July",1995,193,"15:10",NA,2228,41.68,40.528,NA,0,NA,1.15,0.001,0.064,NA,2.485,2.3,0.185,0,0.1,218,0,7.54,0,0,57.3,0,201,3.81,0.389,0.516,0.482,0.034,1140,25.3,67.7,150,7.2,87.2,12,2.1
"294","950847","25",1995-07-25,"July",1995,206,"15:30",NA,NA,43.36,42.5,NA,0,NA,0.86,0.001,0.177,NA,2.744,2.62,0.124,0,0.13,406,16.6,8.36,0,0,90.8,0,172,33.6,0.433,0.564,0.532,0.032,774,25.5,85.4,104,8.1,69.3,8.6,9.5
"295","951066","25",1995-08-14,"August",1995,226,"15:15",1475.13,NA,40.74,40,NA,0,NA,0.744,0.001,0.071,NA,2.364,2.27,0.094,0,0.13,394,21.2,8.35,0,0,87.6,0,170,16.2,0.368,0.471,0.439,0.032,753,24.4,83.4,104,9.2,60,6.5,6.1
"296","951240","25",1995-08-28,"August",1995,240,"11:00",1554.43,NA,40.92,40.6,440.5,28.56,3.62,0.321,0.001,0.061,0,2.544,2.48,0.064,0,0.13,409,23.8,8.33,1002.5,593.5,95.7,15.7,178,13.9,0.413,0.54,0.484,0.056,797,25.9,90.4,108,5.8,14.8,2.5,2.4
"297","951336","25",1995-09-12,"September",1995,255,"11:57",NA,NA,44.22,43.7,NA,NA,NA,0.52,0.001,0.058,0,2.812,2.73,0.082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.522,0.499,0.023,NA,NA,NA,NA,7.4,58.3,7.9,2.4
"298","951823","25",1995-10-17,"October",1995,290,"12:20",NA,NA,43.85,42.9,NA,NA,NA,0.946,0.015,0.044,0,3.108,2.98,0.128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.332,0.315,0.017,NA,NA,NA,NA,8.6,143.5,16.6,9.3
"299","950362","37",1995-05-31,"May",1995,151,"09:30",377.92,657,65.34,64.3,373,0,20.05,1.04,0.001,0.232,NA,4.568,4.42,0.148,0,0.19,306,0,7.47,293.8,0,4.27,2.5,35.1,8.56,0.031,0.745,0.424,0.321,10.4,19.8,56.2,59.8,8.2,8.4,1,42.8
"300","950361","50",1995-05-30,"May",1995,150,"15:45",4761.3,NA,56.24,55.7,543.7,0,12.12,0.541,0.001,0.035,NA,2.188,2.09,0.098,0,0.12,446,0,7.85,2776.4,2330.4,397,22.8,564,3.58,0.014,0.094,0.077,0.017,3120,104,123,182,6.4,82.1,12.7,4.5
"301","950586","50",1995-06-20,"June",1995,171,"14:40",NA,NA,71.33,70.2,681.4,0,19.61,1.13,0.001,0.078,NA,2.264,2.05,0.214,0,0.09,559,0,7.74,3531.3,2972.3,534,23.7,734,11.8,0.015,0.135,0.091,0.044,3940,123,166,204,6.2,66.2,10.8,9.7
"302","950731","50",1995-07-12,"July",1995,193,"14:50",NA,411,70.9,69.159,NA,0,NA,1.74,0.001,0.21,NA,3.079,2.855,0.224,0,0.16,167,0,6.86,0,0,2.71,0,15.9,24,0.059,0.192,0.145,0.047,10.1,8.09,35.5,38.4,9.1,95.5,10.5,5.1
"303","950853","50",1995-07-25,"July",1995,206,"15:01",NA,NA,73.46,71.3,NA,0,NA,2.16,0.001,14.4,NA,10.501,10.2,0.301,0,0.01,709,0,7.58,0,0,682,0,956,11.4,0.046,0.169,0.131,0.038,5050,155,180,250,8.4,146.6,17.5,12.8
"304","951072","50",1995-08-14,"August",1995,226,"15:45",6261.99,NA,63.85,61,NA,0,NA,2.85,0.001,0.084,NA,3.088,2.68,0.408,0,0.05,539,0,7.72,0,0,564,0,794,4.54,0.07,0.184,0.131,0.053,4240,132,NA,204,8.1,138.7,17,22.5
"305","950354","65",1995-05-30,"May",1995,150,"14:40",2515.28,NA,30.48,30.1,577.8,0,8.68,0.384,0.001,0.123,NA,1.81,1.74,0.07,0,0.07,474,0,8.02,1499,1025,239,25.1,298,2.11,0.012,0.055,0.048,0.007,1500,41.9,40.8,109,6.4,141.5,22.1,2
"306","950581","65",1995-06-20,"June",1995,171,"11:15",NA,NA,34.13,33.2,620.5,0,7.38,0.93,0.001,0.11,NA,1.959,1.81,0.149,0,0.06,509,0,8.12,1550.5,1041.5,273,27,319,4.8,0.011,0.073,0.042,0.031,1731,46,46.4,95,7.3,77.4,10.6,7.3
"307","950726","65",1995-07-12,"July",1995,193,"10:50",5551.96,NA,37.08,36.407,NA,0,NA,0.675,0.001,0.042,NA,2.047,1.943,0.104,0,0.06,672,0,8.12,0,0,516,0,713,4.5,0.005,0.052,0.038,0.014,3582,85,75.2,173,7.6,124.3,16.4,2.3
"308","950849","65",1995-07-25,"July",1995,206,"14:00",2851.14,NA,40.4,39.1,NA,0,NA,1.3,0.001,1.4,NA,2.332,2.17,0.162,0,0.04,383,39.4,8.75,0,0,311,0,367,11.4,0.002,0.064,0.042,0.022,1790,51.3,50.2,40.4,9.4,152.4,16.3,3.7
"309","951068","65",1995-08-14,"August",1995,226,"11:00",NA,NA,37.39,36.8,NA,0,NA,0.586,0.001,0.035,NA,2.045,1.95,0.095,0,0.05,359,27.2,8.45,0,0,281,0,351,5.6,0.004,0.061,0.037,0.024,1720,46,48,41.2,7.2,63,8.8,4.9
"310","951242","65",1995-08-28,"August",1995,240,"11:50",2967.19,NA,36.06,35.6,338.4,59.64,1.25,0.46,0.001,0.038,0,2.398,2.3,0.098,0,0.04,377,49.7,8.74,1645.1,1268.1,310,28.3,370,1.25,0.003,0.056,0.042,0.014,1910,47.6,53.3,48.8,5.5,84.7,15.5,2
"311","951335","65",1995-09-12,"September",1995,255,"10:53",NA,NA,41.7,41.3,NA,NA,NA,0.403,0.001,0.054,0,2.671,2.61,0.061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.054,0.041,0.013,NA,NA,NA,NA,7.7,79.9,10.4,2.3
"312","951822","65",1995-10-17,"October",1995,290,"13:04",NA,NA,42.11,41.3,NA,NA,NA,0.811,0.001,0.045,0,2.568,2.45,0.118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.062,0.048,0.014,NA,NA,NA,NA,8,149.4,18.6,5.8
"313","950355","66",1995-05-31,"May",1995,151,"14:55",32813.48,NA,119.9,106,685.1,0,15.64,13.9,0.001,0.292,NA,5.19,2.84,2.35,0,NA,562,0,7.84,15789.8,15227.8,4540,38,3680,7.28,0.069,0.679,0.52,0.159,22830,900,263,256,6.9,225.4,32.7,51.9
"314","950582","66",1995-06-20,"June",1995,171,"11:30",43829.91,NA,189.15,148,702.1,0,12.7,41.15,0.001,0.32,NA,7.33,1.22,6.11,0,0.001,576,0,7.94,20267.3,19691.3,5890,38.3,4770,1.31,0.032,0.854,0.205,0.649,31100,1150,321,252,7.9,163.5,20.8,136.4
"315","950727","66",1995-07-12,"July",1995,193,"10:35",2824.18544,NA,207.72,158.819,NA,0,NA,48.9,0.008,0.43,NA,8.339,1.659,6.68,0,0.05,419,12.6,8.38,0,0,294,0,350,10.5,0.022,0.84,0.036,0.804,1760,52.4,48.2,57.6,8.5,156.8,18.4,93
"316","950850","66",1995-07-25,"July",1995,206,"14:30",56338.43,NA,78.07,75.7,NA,0,NA,2.37,0.001,0.155,NA,3.513,3.2,0.313,0,0.01,376,91.6,8.78,0,0,7690,0,6400,0.82,0.01,0.114,0.072,0.042,40900,544,458,120,8.8,145.5,16.5,91.1
"317","951069","66",1995-08-14,"August",1995,226,"11:10",NA,NA,198,148,NA,0,NA,50,0.025,0.354,NA,9.24,1.27,7.97,0,0.01,318,0,7.71,0,0,5950,0,4820,2,0.006,1.02,0.248,0.772,31000,477,360,194,7.3,167,22.8,222.7
"318","951243","66",1995-08-28,"August",1995,240,"12:05",51142.7,NA,184.6,160,484.4,69.96,2.4,24.6,0.001,0.36,0.01,4.78,1.17,3.61,0,0.01,514,58.3,8.6,23795.5,23281.5,7250,39.3,5610,1.29,0.026,0.604,0.271,0.333,36800,467,426,280,7.9,190.5,24,93.5
"319","951334","66",1995-09-12,"September",1995,255,"10:35",NA,NA,217.97,210,NA,NA,NA,7.97,0.001,0.54,0,3.24,1.93,1.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.546,0.372,0.174,NA,NA,NA,NA,7.1,118.1,16.6,34.9
"320","951821","66",1995-10-17,"October",1995,290,"13:00",NA,NA,210.5,186,NA,NA,NA,24.5,0.001,1.6,0,4.27,1.23,3.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.771,0.319,0.452,NA,NA,NA,NA,9.4,139.8,14.9,95.5
"321","950353","67",1995-05-30,"May",1995,150,"14:00",NA,NA,54.82,54.5,746,0,16.64,0.324,0.022,2.33,0.01,3.577,3.52,0.057,0,0.04,612,0,7.85,2694,2082,383,23.1,547,10.5,0.163,0.257,0.253,0.004,2690,71.6,59.6,177,6.6,208.9,31.5,2.7
"322","950580","67",1995-06-20,"June",1995,171,"11:00",5218.26961,NA,69.57,69.2,808.2,0,14.97,0.365,0.027,0.339,NA,2.793,2.71,0.083,0,0.05,663,0,7.93,3102.4,2439.4,471,24.3,645,9.3,0.169,0.276,0.266,0.01,3360,82.9,73.1,179,5.1,94.1,18.4,10.8
"323","950725","67",1995-07-12,"July",1995,193,"10:15",1475.33,NA,66.58,66.326,NA,0,NA,0.254,0.001,0.139,NA,2.494,2.438,0.056,0,0.13,377,0,8.18,0,0,86.7,0,168,32.7,0.06,0.152,0.142,0.01,748,24.7,82.9,106,5.3,65.5,12.4,3.2
"324","950848","67",1995-07-25,"July",1995,206,"13:30",5819.45,NA,230.8,211,NA,0,NA,19.8,0.001,0.49,NA,4.75,1.62,3.13,0,0.04,610,0,8.2,0,0,542,0,751,3.01,0.021,0.634,0.371,0.263,3830,87.2,80.2,160,7.4,194.1,26.3,6.8
"325","951067","67",1995-08-14,"August",1995,226,"10:00",NA,NA,68.46,66.4,NA,0,NA,2.06,0.001,0.077,NA,2.857,2.61,0.247,0,0.02,547,0,8.24,0,0,502,0,686,7.6,0.014,0.119,0.083,0.036,3200,78.7,76.6,137,9.7,147.6,15.2,1.5
"326","951241","67",1995-08-28,"August",1995,240,"11:35",6166.96,NA,68.73,68.2,587.6,49.2,5.24,0.533,0.001,0.072,0,2.813,2.68,0.133,0,0.01,564,41,8.31,3538.8,2974.8,562,25.1,771,9.65,0.007,0.124,0.081,0.043,4166,90.1,83.8,146,4.7,32,6.8,1.1
"327","951333","67",1995-09-12,"September",1995,255,"10:10",NA,NA,73.63,73.3,NA,NA,NA,0.331,0.001,0.064,0,3.269,3.22,0.049,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.095,0.085,0.01,NA,NA,NA,NA,7.9,85.4,10.8,1.9
"328","951820","67",1995-10-17,"October",1995,290,"12:45",NA,NA,73.24,72.7,NA,NA,NA,0.544,0.001,0.128,0,3.784,3.7,0.084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.083,0.065,0.018,NA,NA,NA,NA,7.6,77.9,10.3,8.8
"329","950358","86",1995-05-31,"May",1995,151,"11:15",NA,537,45.46,39.8,312.1,0,21.13,5.66,0.001,0.016,NA,3.574,2.77,0.804,0,0.14,256,0,7.37,247.1,0,5.05,3.6,30.6,14.7,0.776,1.99,0.951,1.039,8.5,13.3,36.2,48.5,8.2,14,1.7,14.3
"330","950357","90",1995-05-31,"May",1995,151,"10:45",NA,NA,77.65,76.8,698.5,0,11.79,0.852,0.001,0.073,NA,3.2,3.01,0.19,0,0.02,573,0,7.97,5836.5,5263.5,1060,27.5,1320,0.68,0.012,0.117,0.06,0.057,7048,251,187,161,5.2,38.5,7.4,8.7
"331","950584","90",1995-06-20,"June",1995,171,"15:00",NA,NA,90.89,89.7,808.2,0,15.32,1.19,0.001,0.098,NA,4.273,3.99,0.283,0,0.01,663,0,7.92,6813.3,6150.3,1240,27.6,1570,1.22,0.014,0.125,0.073,0.052,8220,276,222,140,4.9,59,12,27.1
"332","950729","90",1995-07-12,"July",1995,193,"12:10",NA,1527,120.54,111.921,NA,0,NA,8.62,0.005,1.09,NA,5.356,3.576,1.78,0,0.15,519,0,7.64,0,0,39.3,0,134,52.6,0.034,0.37,0.19,0.18,326,16.6,33,105,5.6,123.5,21.9,79.8
"333","950852","90",1995-07-25,"July",1995,206,"15:00",NA,NA,147.9,132,NA,0,NA,15.9,0.011,0.239,NA,5.03,2.38,2.65,0,0.03,1054,0,8.1,0,0,2020,0,2670,3.28,0.019,0.4,0.152,0.248,14300,418,351,193,7,165.3,23.6,128.4
"334","951071","90",1995-08-14,"August",1995,226,"12:00",12327.83,NA,101.9,84.5,NA,0,NA,17.4,0.001,0.141,NA,6.22,3.68,2.54,0,0.01,711,0,7.46,0,0,1300,0,1680,5.22,0.002,0.332,0.083,0.249,8280,272,229,135,8,180.2,22.6,133.8
"335","950359","109",1995-05-31,"May",1995,151,"12:15",224.82,391,33.22,30.9,190.2,0,18.63,2.32,0.001,0.035,NA,2.948,2.56,0.388,0,0.1,156,0,7.21,144.5,0,2.25,2.4,16.6,4.47,1.99,2.38,2.16,0.22,23.6,11.6,42.1,30.5,7,27.2,3.9,18.8
"336","950585","109",1995-06-20,"June",1995,171,"12:40",217.62,395,52.7,35.6,179.2,0,40.25,17.1,0.001,0.212,NA,5.64,2.58,3.06,0,0.11,147,0,6.85,138.1,0,2.49,2.8,15.9,16.5,3.21,4.08,3.45,0.63,15.1,9.42,40.8,29.1,6.5,70,10.7,192
"337","950730","109",1995-07-12,"July",1995,193,"14:35",17538.55544,15683,69.04,44.639,NA,0,NA,24.4,0.008,0.178,NA,7.14,4.22,2.92,0,0.03,862,0,7.74,0,0,1730,0,2230,2.29,3.54,5.5,3.84,1.66,12200,359,325,175,9.7,37.9,3.9,11.1
"338","950349","4857",1995-05-31,"May",1995,151,"12:15",614.36,945,20.6,20.2,297.4,0,5.14,0.396,0.001,0.024,NA,1.493,1.44,0.053,0,0.11,244,0,7.96,455.5,211.5,23.5,9.3,70.3,2.75,0.039,0.141,0.127,0.014,255,17,32.8,66.5,8.7,72.9,8.4,5.2
"339","950576","4857",1995-06-20,"June",1995,171,"10:10",653.66,NA,23.82,23.4,325.5,0,17.9,0.415,0.001,0.142,NA,1.916,1.81,0.106,0,0.12,267,0,7.46,475.1,208.1,26.1,9.8,77.2,8.84,0.012,0.194,0.17,0.024,263,17.1,38.1,63,4.6,44.6,9.8,39.4
"340","950721","4857",1995-07-12,"July",1995,193,"09:30",639.3,983,26.14,25.367,NA,0,NA,0.775,0.001,0.238,NA,2.194,2.025,0.169,0,0.11,247,0,7.66,0,0,28.5,0,77.8,7.69,0.053,0.146,0.112,0.034,268,17.6,39.3,52.1,5.3,58.8,11,4.7
"341","950844","4857",1995-07-25,"July",1995,206,"12:30",646.54,NA,26.76,26.3,NA,0,NA,0.455,0.001,0.054,NA,2.2,2.11,0.09,0,0.12,230,18.4,8.76,0,0,29.3,0,80.7,1.02,0.011,0.078,0.071,0.007,293,18.2,39.9,46.3,5.9,167.6,28.4,4.2
"342","951063","4857",1995-08-14,"August",1995,226,"09:50",NA,NA,27.03,26.2,NA,0,NA,0.827,0.001,0.077,NA,2.085,1.92,0.165,0,0.12,246,0,7.82,0,0,28,0,81.8,5.16,0.085,0.174,0.152,0.022,276,18.1,42,55.3,5.8,96.9,16.6,9.3
"343","951239","4857",1995-08-28,"August",1995,240,"10:30",NA,NA,29.45,29,331.6,0,6.9,0.452,0.001,0.074,0,2.171,2.07,0.101,0,0.12,272,0,7.88,511.8,239.8,30.4,10.4,86.6,3.27,0.134,0.224,0.191,0.033,290,19.3,45.4,62.2,5.2,35.3,6.8,8
"344","951339","4857",1995-09-12,"September",1995,255,"13:50",NA,NA,29.43,28.9,NA,NA,NA,0.532,0.001,0.043,0,2.26,2.17,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.266,0.248,0.018,NA,NA,NA,NA,6.9,76.2,11.1,2.8
"345","951826","4857",1995-10-17,"October",1995,290,"10:50",NA,NA,31.54,28.7,NA,NA,NA,2.84,0.001,0.098,0,2.491,2.16,0.331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,0.167,0.127,0.04,NA,NA,NA,NA,10,183.1,18.3,11.9
"346","950356","6642",1995-05-31,"May",1995,151,"10:15",843.51,1245,42.17,41.5,485.2,0,13.03,0.665,0.001,0.07,NA,2.788,2.64,0.148,0,0.11,398,0,7.77,669.6,271.6,29.6,8.3,112,20.3,0.521,0.671,0.65,0.021,310,14.6,34.6,83.5,5.2,81.7,15.6,3.1
"347","950583","6642",1995-06-20,"June",1995,171,"13:15",NA,NA,54.43,53.9,592.4,0,22.51,0.53,0.01,0.193,NA,3.222,2.97,0.252,0,0.13,486,0,7.62,729,243,35.4,9.1,120,48.5,0.81,0.991,0.955,0.036,321,15.7,34.5,94.1,2.5,38,15.5,23.4
"348","950728","6642",1995-07-12,"July",1995,193,"12:35",NA,39873,68.65,61.345,NA,0,NA,7.3,0.003,0.08,NA,4.046,3.053,0.993,0,0.01,547,0,8.26,0,0,7300,0,6140,1.43,0.646,0.897,0.775,0.122,38800,1370,449,114,8.6,154.3,18,27.3
"349","950851","6642",1995-07-25,"July",1995,206,"12:00",NA,NA,61.6,61,NA,0,NA,0.602,0.001,0,NA,3.48,3.36,0.12,0,0.14,555,0,7.88,0,0,40.4,0,138,48.3,0.434,0.565,0.53,0.035,353,17.5,31.9,108,5.9,44.4,7.6,7.4
"350","951070","6642",1995-08-14,"August",1995,226,"14:30",NA,NA,56.73,53.3,NA,0,NA,3.43,0.001,0.174,NA,3.523,3.07,0.453,0,0.12,420,0,7.68,0,0,36.6,0,125,27.5,0.068,0.197,0.156,0.041,368,16.1,30,92.7,8.8,215.7,24.4,8.2
"351","951246","6642",1995-08-28,"August",1995,240,"14:15",NA,NA,57.96,57.2,500.5,29.64,2.25,0.758,0.001,0.105,0,3.344,3.2,0.144,0,0.14,460,24.7,8.58,793.5,333.5,41.4,9.7,133,29.9,0.172,0.257,0.23,0.027,393,17.6,33.3,98.5,6.1,72.4,11.8,4.8
"352","951332","6642",1995-09-12,"September",1995,255,"10:00",NA,NA,61.95,61.6,NA,NA,NA,0.354,0.024,0.19,0,3.597,3.55,0.047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,0.314,0.299,0.015,NA,NA,NA,NA,8.8,60.9,6.9,3.7
"353","951819","6642",1995-10-17,"October",1995,290,"13:50",NA,NA,52.37,51.8,NA,NA,NA,0.566,0.082,0.364,0,4.043,3.97,0.073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.067,0.045,0.022,NA,NA,NA,NA,9,66.3,7.3,4.9
"354","950363","Gursky's",1995-05-31,"May",1995,151,"12:50",561.3886,895,30.78,28.4,493.7,0,4.23,2.38,0.02,0.255,NA,2.614,2.35,0.264,0,0.2,405,0,8.26,442.1,37.1,15.8,6.4,70.5,26.3,0.647,0.771,0.728,0.043,81.5,13,50.2,60.8,10.5,142.7,13.6,8.9
"355","950587","Gursky's",1995-06-20,"June",1995,171,"13:50",NA,951,32.29,29.1,526.6,0,15.51,3.19,0.192,2.06,0.01,3.601,3.21,0.391,0,0.18,432,0,7.73,451.1,19.1,16,6.3,71.9,28.6,0.891,1.03,0.995,0.035,80.3,13.6,51.7,62.1,9.5,235,24.7,18.6
"356","950732","Gursky's",1995-07-12,"July",1995,193,"15:50",NA,NA,37.05,30.226,NA,0,NA,6.82,0.001,0.052,NA,2.975,2.042,0.933,0,0.1,676,0,7.71,0,0,652,0,912,19.4,0.811,0.976,0.871,0.105,4772,150,178,241,8.5,167.5,19.6,42.1
"357","950854","Gursky's",1995-07-25,"July",1995,206,"11:30",NA,966,38.53,31.4,NA,0,NA,7.13,0.017,0,NA,3.83,2.42,1.41,0,0.09,444,0,8.03,0,0,16.8,0,74.8,32.9,0.81,1.04,0.913,0.127,80.6,13.9,53.3,64.6,5.9,144.8,24.6,38.1
"358","951073","Gursky's",1995-08-14,"August",1995,226,"17:00",NA,NA,45.3,32,NA,0,NA,13.3,0.029,0.159,NA,5.08,2.48,2.6,0,0.19,424,0,7.93,0,0,15.8,0,74.4,30.2,0.654,0.954,0.688,0.266,88.9,13.9,NA,64.1,6,128.9,21.6,163.2
"359","951247","Gursky's",1995-08-28,"August",1995,240,"15:00",538.99,974,44.1,29.6,505.9,20.4,4.07,14.5,0.001,0.038,0,4.82,2.39,2.43,0,0.19,449,17,8.32,453.4,4.4,15.8,6.2,72.4,30.9,0.349,1.02,0.692,0.328,74.2,13.9,NA,62.2,7,114,16.4,162.1
"360","951340","Gursky's",1995-09-12,"September",1995,255,"14:40",NA,NA,50.5,31.1,NA,NA,NA,19.4,0.001,0.022,0,5.41,2.27,3.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,1.01,0.69,0.32,NA,NA,NA,NA,7.2,156.3,21.7,141.9
"361","951827","Gursky's",1995-10-17,"October",1995,290,"14:15",NA,NA,42.1,27.4,NA,NA,NA,14.7,0.001,0.018,0,4.1,2.32,1.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,0.858,0.583,0.275,NA,NA,NA,NA,9.6,137.8,14.3,116.1
"362","960347","1A",1996-05-09,"May",1996,130,"11:23",661,992,15.95,15.2,137.7,0,9.54,0.75,0.001,0.09,0,1.35,1.22,0.13,0,0.04,113,0,7.36,458,345,20.2,8.1,71.4,6.93,0.05,0.21,0.1,0.105,389,9.96,29.9,65.7,6.695,18.336,2.739,23.94
"363","960507","1A",1996-06-10,"June",1996,162,"15:20",918,1312,21.95,19.6,193.8,0,7.36,2.35,0.001,0.27,0,2.01,1.56,0.45,0,0.1,159,0,7.62,659.9,500.9,28.3,8,104,8.72,0.05,0.18,0.11,0.07,538,13.4,37.4,92.8,6.133,86.642,14.126,40.12
"364","960810","1A",1996-07-09,"July",1996,191,"14:25",NA,1617,27.16,24.5,257.2,0,12.32,2.66,0.05,0.31,0,2.92,2.42,0.5,0,0.08,211,0,7.52,847.2,636.2,37.3,8.2,133,16.6,0.1,0.27,0.2,0.076,754,16.5,45.4,120,6.207,90.329,14.554,137.07
"365","961092","1A",1996-08-13,"August",1996,226,"13:35",1342,1742,26.78,25.2,273.1,0,10.14,1.58,0.2,2.36,0.01,3.65,3.42,0.23,0,0.05,224,0,7.63,936.4,712.4,41.4,8.3,148,26.5,0.21,0.34,0.29,0.05,792,18,49.6,131,8.12,81.554,10.043,3.2
"366","961459","1A",1996-09-18,"September",1996,262,"12:45",NA,NA,25.9,24.5,286.5,1.8,1.92,1.4,0.04,0.11,0.01,2.07,1.86,0.21,0,NA,238,1.5,8.37,961.1,723.1,43.4,8.4,154,9.58,0.07,0.16,0.12,0.039,813,19.2,52.8,131,7.815,92.645,11.855,2.98
"367","961603","1A",1996-10-15,"October",1996,289,"13:35",1425,1827,28.15,24.3,297.4,0,2.93,3.85,0.02,0.07,0,2.2,1.8,0.4,0,0.1,244,0,8.2,982.6,738.6,44.7,8.5,158,4.23,0.03,0.12,0.07,0.055,865,19.4,54.3,133,11.343,180.658,15.927,3.78
"368","960348","1B",1996-05-09,"May",1996,130,"11:45",655,991,16.28,14.7,137.7,0,9.99,1.58,0.001,0.17,0,1.45,1.16,0.29,0,0.05,113,0,7.34,456.7,343.7,20.2,8.2,71.7,6.77,0.04,0.19,0.09,0.097,384,10.1,29.7,64.7,6.4,42.038,6.568,12.93
"369","960506","1B",1996-06-10,"June",1996,162,"15:00",917,1318,20.86,19.9,196.3,0,4.8,0.96,0.001,0.19,0,1.73,1.52,0.21,0,0.09,161,0,7.81,666,505,28.5,8,105,8.75,0.06,0.14,0.12,0.024,534,13.5,37.4,93.6,5.28,102.696,19.448,14.74
"370","960811","1B",1996-07-09,"July",1996,191,"14:40",1222,NA,26.66,24.1,256,0,14.41,2.56,0.08,0.34,0,2.82,2.37,0.45,0,0.08,210,0,7.45,851.3,641.3,37.4,8.2,134,17.1,0.09,0.27,0.19,0.077,725,16.5,45.2,120,6.593,85.804,13.014,150.73
"371","961091","1B",1996-08-13,"August",1996,226,"13:15",1345,1742,26.04,25.4,268.2,0,10.19,0.64,0.22,2.26,0.01,3.54,3.42,0.12,0,0.04,220,0,7.62,938.2,718.2,41.2,8.2,146,26.5,0.2,0.29,0.28,0.017,796,17.7,50,135,6.314,97.768,15.485,2.48
"372","961458","1B",1996-09-18,"September",1996,262,"12:30",1383,NA,31.39,24.7,289.9,2.52,1.69,6.69,0.04,0.08,0.01,2.7,1.92,0.78,0,0.06,242,2.1,8.43,965.2,723.2,43.5,8.4,155,9.29,0.06,0.18,0.11,0.065,827,19.1,52.6,131,10.045,265.627,26.444,NA
"373","961604","1B",1996-10-15,"October",1996,289,"13:50",NA,1828,24.44,24.2,279.2,0,2.51,0.24,0.05,0.1,0,1.87,1.85,0.02,0,0.1,229,0,8.24,982.6,753.6,43.9,8.3,158,4.04,0.03,0.07,0.07,0.006,881,19.3,53.3,133,14.058,103.663,7.374,2.55
"374","960340","25",1996-05-08,"May",1996,129,"13:45",416,674,18.32,17.1,176.8,0,7.72,1.22,0.04,0.17,0,1.48,1.26,0.22,0,0.05,145,0,7.56,278.6,133.6,20.6,12.5,43.4,10.2,0.14,0.27,0.21,0.053,181,6.99,26.7,40,6.559,59.408,9.057,NA
"375","960508","25",1996-06-10,"June",1996,162,"16:00",677,NA,27.59,24.6,295,0,12.01,2.99,0.01,0.8,0.01,2.48,2.18,0.3,0,0.1,242,0,7.59,460.7,218.7,35.6,13.2,72.9,17.9,0.47,1.3,1.28,0.02,292,10.5,38.3,64.3,11.628,385.835,33.182,5.83
"376","960812","25",1996-07-09,"July",1996,191,"15:00",845,1215,30.03,26.3,336.4,0,13.08,3.73,0.01,1.98,0.01,3.44,3.01,0.43,0,0.09,276,0,7.61,557.2,281.2,45,13.8,89.5,24.3,0.65,0.76,0.7,0.056,391,11,42.9,75.6,10.215,171.902,16.828,1.7
"377","961093","25",1996-08-13,"August",1996,226,"14:10",974,1436,30.36,30,434,0,12.49,0.36,0.06,2.2,0.01,3.17,3.11,0.06,0,0.05,356,0,7.74,670.7,314.7,56.5,14.3,109,29.8,0.66,0.68,0.68,0.004,410,13.6,52.6,88.9,7.039,233.565,33.182,2.26
"378","961460","25",1996-09-18,"September",1996,262,"13:15",1148,1632,30.12,29.5,483.9,0,6.32,0.62,0.22,0.14,0.01,2.09,2.01,0.08,0,0.07,397,0,8.08,776.4,379.4,65.6,14.3,128,19,0.2,0.25,0.23,0.02,520,15.7,60.6,99.9,8.757,80.393,9.18,15.71
