"","Pond","Date","Time_hydro","Temp_degC","DO_mg.L","Depth_m","SPC_uS.cm","pH_hydro","Redox_mV","DO_perc","Sal_ppt","Time_nutrients","TDS_mg.L","Cond_uS.cm","TOC_mg.L","DOC_mg.L","HCO3_mg.L","CO3_mg.L","freeCO2_mg.L","POC_mg.L","NO3NO2_mg.L","NH3.tot_mg.L","NH3.un.ion_mg.L","TN_mg.L","DN_mg.L","PN_mg.L","OH_mg.L","F.diss_mg.L","Alk.tot_mg.L","Alk.p_mg.L","pH","Hard.tot_mg.L","Hard.nonCO3_mg.L","Na.diss_mg.L","Na_perc","Mg.diss_mg.L","SiO2_mg.L","P.diss.ortho_mg.L","P.tot_mg.L","P.diss_mg.L","P.part_mg.L","SO4.diss_mg.L","Cl.diss_mg.L","K.diss_mg.L","Ca.diss_mg.L","PCPN","PCPP","PNPP","Chla_ug.L","Water_level_m"
"703","1B",1995-07-25,10:16:10,19.9,9.52,0,2.16,8.48,306,110.8,1.2,10:00:00,1796.6,2230,35.05,31.7,NA,0,NA,3.35,0.001,0.164,NA,2.75,2.31,0.44,0,0.1,214,0,7.6,0,0,60,0,204,11.2,0.019,0.148,0.095,0.053,1150,25.6,70.3,147,8.9,163,18.4,17.5,0.365
"704","1B",1995-07-25,10:17:18,19.76,8.48,-0.5,2.2,8.44,250,98.4,1.2,10:00:00,1796.6,2230,35.05,31.7,NA,0,NA,3.35,0.001,0.164,NA,2.75,2.31,0.44,0,0.1,214,0,7.6,0,0,60,0,204,11.2,0.019,0.148,0.095,0.053,1150,25.6,70.3,147,8.9,163,18.4,17.5,0.365
"705","Gursky",1995-07-25,11:30:14,20.66,10.36,0,0.914,8.91,317,121.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Gursky",1995-07-25,11:32:28,20.59,10.76,-0.5,0.912,8.92,317,126.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","25",1995-08-14,14:59:37,21.02,NA,0,2,9.1,84,NA,1.1,15:15:00,1475.13,2000,40.74,40,NA,0,NA,0.744,0.001,0.071,NA,2.364,2.27,0.094,0,0.13,394,21.2,8.35,0,0,87.6,0,170,16.2,0.368,0.471,0.439,0.032,753,24.4,83.4,104,9.2,60,6.5,6.1,0.455
"708","50",1995-08-14,15:25:45,20.22,7.46,0,7.14,8.04,141,90.7,4,15:45:00,6261.99,7170,63.85,61,NA,0,NA,2.85,0.001,0.084,NA,3.088,2.68,0.408,0,0.05,539,0,7.72,0,0,564,0,794,4.54,0.07,0.184,0.131,0.053,4240,132,NA,204,8.1,138.7,17,22.5,0.86
"709","65",1995-08-14,11:00:25,15.19,8.6,0,3.44,9.15,-2,93,1.9,11:00:00,2708.25,3420,37.39,36.8,NA,0,NA,0.586,0.001,0.035,NA,2.045,1.95,0.095,0,0.05,359,27.2,8.45,0,0,281,0,351,5.6,0.004,0.061,0.037,0.024,1720,46,48,41.2,7.2,63,8.8,4.9,0.61
"710","65",1995-08-14,11:00:38,15.19,8.57,0,3.57,9.15,-4,92.8,1.9,11:00:00,2708.25,3420,37.39,36.8,NA,0,NA,0.586,0.001,0.035,NA,2.045,1.95,0.095,0,0.05,359,27.2,8.45,0,0,281,0,351,5.6,0.004,0.061,0.037,0.024,1720,46,48,41.2,7.2,63,8.8,4.9,0.61
"711","66",1995-08-14,11:09:35,15.35,9.81,0,32.8,9.62,-35,119.7,20.5,11:10:00,42993.92,33100,198,148,NA,0,NA,50,0.025,0.354,NA,9.24,1.27,7.97,0,0.001,318,0,7.71,0,0,5950,0,4820,2,0.006,1.02,0.248,0.772,31000,477,360,194,7.3,167,22.8,222.7,1.1
"712","67",1995-08-14,10:25:46,14.56,8.4,0,6.19,8.67,72,90.6,3.4,10:00:00,5016.12,6040,68.46,66.4,NA,0,NA,2.06,0.001,0.077,NA,2.857,2.61,0.247,0,0.02,547,0,8.24,0,0,502,0,686,7.6,0.014,0.119,0.083,0.036,3200,78.7,76.6,137,9.7,147.6,15.2,1.5,0.48
"713","90",1995-08-14,13:47:45,21.72,8.65,0,9.96,8.47,-36,109.6,5.6,12:00:00,12327.83,12600,101.9,84.5,NA,0,NA,17.4,0.001,0.141,NA,6.22,3.68,2.54,0,0.001,711,0,7.46,0,0,1300,0,1680,5.22,0.001,0.332,0.083,0.249,8280,272,229,135,8,180.2,22.6,133.8,0.97
"714","4857",1995-08-14,09:58:44,13.99,7,-0.1,1.071,8.2,16,73.2,0.6,09:50:00,654.08,1010,27.03,26.2,NA,0,NA,0.827,0.001,0.077,NA,2.085,1.92,0.165,0,0.12,246,0,7.82,0,0,28,0,81.8,5.16,0.085,0.174,0.152,0.022,276,18.1,42,55.3,5.8,96.9,16.6,9.3,0.89
"715","6642",1995-08-14,14:14:13,19.96,8.74,0,1.424,8.31,111,103.6,0.8,14:30:00,948.02,1370,56.73,53.3,NA,0,NA,3.43,0.001,0.174,NA,3.523,3.07,0.453,0,0.12,420,0,7.68,0,0,36.6,0,125,27.5,0.068,0.197,0.156,0.041,368,16.1,30,92.7,8.8,215.7,24.4,8.2,NA
"716","1A",1995-08-14,13:10:59,17.13,12.09,0,2.34,8.62,17,135.7,1.3,13:10:00,1734.092,2220,33.48,29.8,NA,0,NA,3.68,0.023,0.33,NA,2.866,2.44,0.426,0,0.1,210,0,7.5,0,0,56.2,0,204,6.99,0.052,0.143,0.109,0.034,1100,24.8,70.9,145,10.1,279.1,27.7,5.8,NA
"717","1A",1995-08-14,13:12:59,16.5,8.73,-0.5,2.24,8.52,-40,96.7,1.2,13:10:00,1734.092,2220,33.48,29.8,NA,0,NA,3.68,0.023,0.33,NA,2.866,2.44,0.426,0,0.1,210,0,7.5,0,0,56.2,0,204,6.99,0.052,0.143,0.109,0.034,1100,24.8,70.9,145,10.1,279.1,27.7,5.8,NA
"718","1B",1995-08-14,12:58:09,16.14,9.08,0,2.38,8.58,48,99.9,1.3,12:10:00,1742.025,2210,30.19,29.7,NA,0,NA,0.487,0.0017,0.303,NA,2.434,2.34,0.094,0,0.1,198,0,7.64,0,0,55.6,0,202,6.45,0.052,0.15,0.12,0.03,1120,24.9,70.1,144,6,41.9,6.9,4.8,0.35
"719","Gursky",1995-08-14,16:38:18,17.73,9.55,0,0.947,9.17,134,108.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Gursky",1995-08-14,16:39:24,16.57,8.56,-0.5,0.934,9.15,135,94.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","25",1995-08-28,10:43:08,16.87,8.36,-0.1,2.18,9,187,93.3,1.2,11:00:00,1554.43,2070,40.92,40.6,440.5,28.56,3.62,0.321,0.001,0.061,0,2.544,2.48,0.064,0,0.13,409,23.8,8.33,1002.5,593.5,95.7,15.7,178,13.9,0.413,0.54,0.484,0.056,797,25.9,90.4,108,5.8,14.8,2.5,2.4,0.502
"722","25",1995-08-28,10:43:50,16.71,8.56,-0.6,2.05,9.03,104,95.2,1.1,11:00:00,1554.43,2070,40.92,40.6,440.5,28.56,3.62,0.321,0.001,0.061,0,2.544,2.48,0.064,0,0.13,409,23.8,8.33,1002.5,593.5,95.7,15.7,178,13.9,0.413,0.54,0.484,0.056,797,25.9,90.4,108,5.8,14.8,2.5,2.4,0.502
"723","65",1995-08-28,11:33:30,17.29,9.33,-0.1,3.77,9.33,57,105.7,2.1,11:50:00,2967.19,3610,36.06,35.6,338.4,59.64,1.25,0.46,0.001,0.038,0,2.398,2.3,0.098,0,0.04,377,49.7,8.74,1645.1,1268.1,310,28.3,370,1.25,0.003,0.056,0.042,0.014,1910,47.6,53.3,48.8,5.5,84.7,15.5,2,0.65
"724","65",1995-08-28,11:37:04,17.19,9.46,-0.6,3.77,9.37,23,107,2.1,11:50:00,2967.19,3610,36.06,35.6,338.4,59.64,1.25,0.46,0.001,0.038,0,2.398,2.3,0.098,0,0.04,377,49.7,8.74,1645.1,1268.1,310,28.3,370,1.25,0.003,0.056,0.042,0.014,1910,47.6,53.3,48.8,5.5,84.7,15.5,2,0.65
"725","66",1995-08-28,11:51:01,17.61,12.15,-0.1,37.8,9.52,45,158.6,24,12:05:00,51142.7,37900,184.6,160,484.4,69.96,2.4,24.6,0.001,0.36,0.01,4.78,1.17,3.61,0,0.001,514,58.3,8.6,23795.5,23281.5,7250,39.3,5610,1.29,0.026,0.604,0.271,0.333,36800,467,426,280,7.9,190.5,24,93.5,1.187
"726","67",1995-08-28,11:17:36,17.28,9.41,-0.1,6.51,8.91,126,107.6,3.6,11:35:00,6166.96,6380,68.73,68.2,587.6,49.2,5.24,0.533,0.001,0.072,0,2.813,2.68,0.133,0,0.001,564,41,8.31,3538.8,2974.8,562,25.1,771,9.65,0.007,0.124,0.081,0.043,4166,90.1,83.8,146,4.7,32,6.8,1.1,0.47
"727","667",1995-08-28,11:18:05,17.26,9.28,-0.4,6.48,8.91,109,106.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","4857",1995-08-28,10:10:20,16.52,8.76,-0.1,1.128,8.53,71,96.6,0.6,10:30:00,700.49,1080,29.45,29,331.6,0,6.9,0.452,0.001,0.074,0,2.171,2.07,0.101,0,0.12,272,0,7.88,511.8,239.8,30.4,10.4,86.6,3.27,0.134,0.224,0.191,0.033,290,19.3,45.4,62.2,5.2,35.3,6.8,8,0.72
"729","4857",1995-08-28,10:10:55,16.4,8.84,-0.5,1.129,8.5,15,97.3,0.6,10:30:00,700.49,1080,29.45,29,331.6,0,6.9,0.452,0.001,0.074,0,2.171,2.07,0.101,0,0.12,272,0,7.88,511.8,239.8,30.4,10.4,86.6,3.27,0.134,0.224,0.191,0.033,290,19.3,45.4,62.2,5.2,35.3,6.8,8,0.72
"730","6642",1995-08-28,13:57:58,18.94,9.32,-0.1,1.527,8.36,232,108.3,0.8,14:15:00,1022.84,1480,57.96,57.2,500.5,29.64,2.25,0.758,0.001,0.105,0,3.344,3.2,0.144,0,0.14,460,24.7,8.58,793.5,333.5,41.4,9.7,133,29.9,0.172,0.257,0.23,0.027,393,17.6,33.3,98.5,6.1,72.4,11.8,4.8,NA
"731","1A",1995-08-28,13:28:48,18.4,11.69,-0.1,2.34,9.09,214,134.7,1.3,13:45:00,1747.77,2250,29.98,29.3,246.2,0,3.61,0.683,0.001,0.068,0,2.31,2.16,0.15,0,0.09,202,0,NA,1195.3,993.3,59,9.1,203,0.98,0.031,0.116,0.113,0.003,1120,26.2,73.3,144,5.3,587.1,110.6,13.1,NA
"732","1A",1995-08-28,13:30:03,18.38,12.8,-0.5,2.37,9.13,199,147.5,1.3,13:45:00,1747.77,2250,29.98,29.3,246.2,0,3.61,0.683,0.001,0.068,0,2.31,2.16,0.15,0,0.09,202,0,NA,1195.3,993.3,59,9.1,203,0.98,0.031,0.116,0.113,0.003,1120,26.2,73.3,144,5.3,587.1,110.6,13.1,NA
"733","1B",1995-08-28,13:04:46,17.77,10.96,-0.1,2.31,9,191,124.7,1.2,13:20:00,1736.77,2250,30.18,28.9,258.4,0,3.37,1.28,0.001,0.05,0,2.477,2.19,0.287,0,0.08,212,0,NA,1220.9,1008.9,59,8.9,208,1.39,0.027,0.124,0.095,0.029,1095,26.7,73.4,146,5.2,113.8,21.9,20.2,0.34
"734","1B",1995-08-28,13:05:14,17.78,11.33,-0.7,2.31,9.02,176,128.9,1.2,13:20:00,1736.77,2250,30.18,28.9,258.4,0,3.37,1.28,0.001,0.05,0,2.477,2.19,0.287,0,0.08,212,0,NA,1220.9,1008.9,59,8.9,208,1.39,0.027,0.124,0.095,0.029,1095,26.7,73.4,146,5.2,113.8,21.9,20.2,0.34
"735","Gursky",1995-08-28,14:44:10,18.45,10.66,-0.1,0.936,9.24,195,122.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","Gursky",1995-08-28,14:44:42,18.48,10.61,-0.6,0.937,9.27,190,121.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","25",1995-09-12,12:04:13,17.92,10.68,0,2.12,8.85,230,112.3,1.1,11:57:00,NA,NA,44.22,43.7,NA,NA,NA,0.52,0.001,0.058,0,2.812,2.73,0.082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.522,0.499,0.023,NA,NA,NA,NA,7.4,58.3,7.9,2.4,0.54
"738","25",1995-09-12,12:06:49,17.95,11.08,-0.4,2.13,8.86,174,116.7,1.1,11:57:00,NA,NA,44.22,43.7,NA,NA,NA,0.52,0.001,0.058,0,2.812,2.73,0.082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.522,0.499,0.023,NA,NA,NA,NA,7.4,58.3,7.9,2.4,0.54
"739","65",1995-09-12,11:02:32,17.07,8.99,0,3.72,8.97,224,93.4,2,10:53:00,NA,NA,41.7,41.3,NA,NA,NA,0.403,0.001,0.054,0,2.671,2.61,0.061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.054,0.041,0.013,NA,NA,NA,NA,7.7,79.9,10.4,2.3,0.7
"740","65",1995-09-12,11:02:47,17.07,8.93,-0.1,3.72,8.98,218,92.8,2,10:53:00,NA,NA,41.7,41.3,NA,NA,NA,0.403,0.001,0.054,0,2.671,2.61,0.061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.054,0.041,0.013,NA,NA,NA,NA,7.7,79.9,10.4,2.3,0.7
"741","66",1995-09-12,10:48:14,16.17,8.6,-0.1,41,9.1,216,102,26.3,10:35:00,NA,NA,217.97,210,NA,NA,NA,7.97,0.001,0.54,0,3.24,1.93,1.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.546,0.372,0.174,NA,NA,NA,NA,7.1,118.1,16.6,34.9,1.24
"742","67",1995-09-12,10:22:41,17.09,6.67,0,6.4,8.53,206,70.1,3.5,10:10:00,NA,NA,73.63,73.3,NA,NA,NA,0.331,0.001,0.064,0,3.269,3.22,0.049,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.095,0.085,0.01,NA,NA,NA,NA,7.9,85.4,10.8,1.9,0.52
"743","4857",1995-09-12,13:46:41,18.14,13.08,0,1.053,4.38,232,137.7,0.6,13:50:00,NA,NA,29.43,28.9,NA,NA,NA,0.532,0.001,0.043,0,2.26,2.17,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.266,0.248,0.018,NA,NA,NA,NA,6.9,76.2,11.1,2.8,0.78
"744","6642",1995-09-12,09:36:47,15.64,4.94,0,1.52,7.93,316,49.4,0.8,10:00:00,NA,NA,61.95,61.6,NA,NA,NA,0.354,0.024,0.19,0,3.597,3.55,0.047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,0.314,0.299,0.015,NA,NA,NA,NA,8.8,60.9,6.9,3.7,NA
"745","1A",1995-09-12,12:48:11,17.97,11.98,0,2.19,8.96,272,126.2,1.2,12:40:00,NA,NA,30.82,30.6,NA,NA,NA,0.218,0.001,0.114,0,2.575,2.54,0.035,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.131,0.11,0.021,NA,NA,NA,NA,7.3,26.8,3.7,2.9,NA
"746","1A",1995-09-12,12:53:36,17.97,10.39,-0.4,2.12,8.98,227,109.4,1.1,12:40:00,NA,NA,30.82,30.6,NA,NA,NA,0.218,0.001,0.114,0,2.575,2.54,0.035,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.131,0.11,0.021,NA,NA,NA,NA,7.3,26.8,3.7,2.9,NA
"747","1B",1995-09-12,12:33:47,17.43,9.72,0,2.2,8.73,253,101.3,1.2,12:25:00,NA,NA,30.76,30.5,NA,NA,NA,0.255,0.001,0.165,0,2.714,2.68,0.034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.145,0.127,0.018,NA,NA,NA,NA,8.7,36.5,4.2,2.4,0.43
"748","1B",1995-09-12,12:34:13,17.33,9.65,-0.5,2.2,8.77,251,100.3,1.2,12:25:00,NA,NA,30.76,30.5,NA,NA,NA,0.255,0.001,0.165,0,2.714,2.68,0.034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.145,0.127,0.018,NA,NA,NA,NA,8.7,36.5,4.2,2.4,0.43
"749","Gursky",1995-09-12,14:36:42,17.87,8.39,0,0.892,3.85,367,87.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","Gursky",1995-09-12,14:38:41,17.8,8.91,-0.5,0.89,3.9,357,93.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","25",1995-10-17,12:19:15,5.92,11.18,0,2.4,8.55,350,95.9,1.3,12:20:00,NA,NA,43.85,42.9,NA,NA,NA,0.946,0.0015,0.044,0,3.108,2.98,0.128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.332,0.315,0.017,NA,NA,NA,NA,8.6,143.5,16.6,9.3,0.58
"752","25",1995-10-17,12:19:29,5.93,11.07,-0.3,2.39,8.54,349,95,1.3,12:20:00,NA,NA,43.85,42.9,NA,NA,NA,0.946,0.0015,0.044,0,3.108,2.98,0.128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.332,0.315,0.017,NA,NA,NA,NA,8.6,143.5,16.6,9.3,0.58
"753","65",1995-10-17,13:11:51,5.9,11.39,-0.1,4.23,8.98,277,98.3,2.3,13:04:00,NA,NA,42.11,41.3,NA,NA,NA,0.811,0.001,0.045,0,2.568,2.45,0.118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.062,0.048,0.014,NA,NA,NA,NA,8,149.4,18.6,5.8,0.73
"754","65",1995-10-17,13:12:15,5.92,11.38,0,4.2,8.92,277,98.3,2.3,13:04:00,NA,NA,42.11,41.3,NA,NA,NA,0.811,0.001,0.045,0,2.568,2.45,0.118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.062,0.048,0.014,NA,NA,NA,NA,8,149.4,18.6,5.8,0.73
"755","66",1995-10-17,13:01:23,5.98,10.05,-0.1,43.2,8.81,320,102.9,27.8,13:00:00,NA,NA,210.5,186,NA,NA,NA,24.5,0.001,1.6,0,4.27,1.23,3.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.771,0.319,0.452,NA,NA,NA,NA,9.4,139.8,14.9,95.5,1.24
"756","67",1995-10-17,12:46:19,6.13,11.26,0,7.07,8.55,330,98.9,3.9,12:45:00,NA,NA,73.24,72.7,NA,NA,NA,0.544,0.001,0.128,0,3.784,3.7,0.084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.083,0.065,0.018,NA,NA,NA,NA,7.6,77.9,10.3,8.8,0.54
"757","4857",1995-10-17,11:05:29,5.27,11.43,0,1.147,8.18,452,96,0.6,10:50:00,NA,NA,31.54,28.7,NA,NA,NA,2.84,0.001,0.098,0,2.491,2.16,0.331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,0.167,0.127,0.04,NA,NA,NA,NA,10,183.1,18.3,11.9,0.81
"758","6642",1995-10-17,13:47:13,6.41,12.18,0,1.79,8.05,301,105.5,1,13:50:00,NA,NA,52.37,51.8,NA,NA,NA,0.566,0.082,0.364,0,4.043,3.97,0.073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.067,0.045,0.022,NA,NA,NA,NA,9,66.3,7.3,4.9,NA
"759","1A",1995-10-17,11:37:11,6.97,10.5,0,2.31,8.51,350,92.4,1.2,11:40:00,NA,NA,30.67,30,NA,NA,NA,0.665,0.034,0.109,0,2.702,2.59,0.112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.107,0.08,0.027,NA,NA,NA,NA,6.9,63.5,9.2,6.4,NA
"760","1A",1995-10-17,11:37:33,6.98,10.44,-0.5,2.29,8.55,349,91.9,1.2,11:40:00,NA,NA,30.67,30,NA,NA,NA,0.665,0.034,0.109,0,2.702,2.59,0.112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.107,0.08,0.027,NA,NA,NA,NA,6.9,63.5,9.2,6.4,NA
"761","1B",1995-10-17,11:21:25,6.72,10.53,-0.1,2.29,7.95,379,92.1,1.2,13:15:00,NA,NA,30.94,30,NA,NA,NA,0.944,0.027,0.123,0,2.563,2.42,0.143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.106,0.081,0.025,NA,NA,NA,NA,7.7,97.4,12.6,8.5,0.46
"762","1B",1995-10-17,11:22:00,6.74,10.42,-0.5,2.26,8.08,368,91.2,1.2,13:15:00,NA,NA,30.94,30,NA,NA,NA,0.944,0.027,0.123,0,2.563,2.42,0.143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.106,0.081,0.025,NA,NA,NA,NA,7.7,97.4,12.6,8.5,0.46
"763","Gursky",1995-10-17,14:10:32,7.46,11.4,0,0.943,8.8,314,101.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","Gursky",1995-10-17,14:11:07,7.39,11.1,-0.6,0.944,8.82,314,98.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","25",1996-05-08,13:58:58,5.34,11.37,0,0.659,7.85,215,94.1,0.3,13:45:00,416,674,18.32,17.1,176.8,0,7.72,1.22,0.04,0.17,0,1.48,1.26,0.22,0,0.05,145,0,7.56,278.6,133.6,20.6,12.5,43.4,10.2,0.14,0.27,0.21,0.053,181,6.99,26.7,40,6.559,59.408,9.057,NA,0.527
"766","25",1996-05-08,13:59:46,5.18,11.14,-0.5,0.65,7.86,226,91.8,0.3,13:45:00,416,674,18.32,17.1,176.8,0,7.72,1.22,0.04,0.17,0,1.48,1.26,0.22,0,0.05,145,0,7.56,278.6,133.6,20.6,12.5,43.4,10.2,0.14,0.27,0.21,0.053,181,6.99,26.7,40,6.559,59.408,9.057,NA,0.527
"767","65",1996-05-08,15:20:56,4.63,13.94,0,1.266,8.29,161,113.5,0.7,15:00:00,877,1306,16.99,16.3,241.4,0,5.64,0.69,0.001,0.09,0,1.24,1.11,0.13,0,0.04,198,0,7.83,530.6,332.6,83.1,24.6,100,4.78,0,0.06,0.04,0.019,489,14.9,18.5,47.6,6.276,94.268,15.019,4.87,0.375
"768","65",1996-05-08,15:21:34,4.63,13.6,-0.6,1.278,8.3,129,110.8,0.7,15:00:00,877,1306,16.99,16.3,241.4,0,5.64,0.69,0.001,0.09,0,1.24,1.11,0.13,0,0.04,198,0,7.83,530.6,332.6,83.1,24.6,100,4.78,0,0.06,0.04,0.019,489,14.9,18.5,47.6,6.276,94.268,15.019,4.87,0.375
"769","66",1996-05-08,15:34:47,5.21,12.32,0,14.73,9.11,171,107.6,8.5,15:17:00,16580,15382,62.75,55.3,355.9,0,12.05,7.45,0.001,0.47,0,4.08,3.09,0.99,0,0.001,292,0,7.67,7452,7160,2380,40.5,1730,2.65,0.01,0.38,0.15,0.225,11600,433,127,132,8.815,85.454,9.694,8.74,0.93
"770","66",1996-05-08,15:35:08,5.21,12.22,-0.1,14.72,9.12,173,106.7,8.5,15:17:00,16580,15382,62.75,55.3,355.9,0,12.05,7.45,0.001,0.47,0,4.08,3.09,0.99,0,0.001,292,0,7.67,7452,7160,2380,40.5,1730,2.65,0.01,0.38,0.15,0.225,11600,433,127,132,8.815,85.454,9.694,8.74,0.93
"771","67",1996-05-08,14:45:45,5.64,13.68,0,2.35,8.15,209,114.9,1.3,14:20:00,1833,2385,24.67,24.2,276.7,0,4.78,0.47,0.001,0.1,0,1.71,1.62,0.09,0,0.04,227,0,7.96,1132.2,905.2,160,23,230,6.08,0,0.07,0.05,0.021,1170,27.8,28.4,74.2,6.382,57.147,8.954,6.58,0.775
"772","67",1996-05-08,14:46:10,5.64,13.44,-0.2,2.3,8.19,199,112.8,1.2,14:20:00,1833,2385,24.67,24.2,276.7,0,4.78,0.47,0.001,0.1,0,1.71,1.62,0.09,0,0.04,227,0,7.96,1132.2,905.2,160,23,230,6.08,0,0.07,0.05,0.021,1170,27.8,28.4,74.2,6.382,57.147,8.954,6.58,0.775
"773","4857",1996-05-08,13:02:40,4.46,12.49,0,0.58,8.1,329,101,0.3,12:45:00,355,601,17.68,14.9,178,0,8.14,2.78,0.03,0.25,0,1.63,1.18,0.45,0,0.07,146,0,7.54,260,114,13.7,9.4,41.8,6.74,0.11,0.28,0.17,0.117,138,9.81,21.8,35.2,7.207,61.322,8.508,29.47,0.375
"774","4857",1996-05-08,13:03:12,4.48,12.48,-0.2,0.581,8.11,259,101,0.3,12:45:00,355,601,17.68,14.9,178,0,8.14,2.78,0.03,0.25,0,1.63,1.18,0.45,0,0.07,146,0,7.54,260,114,13.7,9.4,41.8,6.74,0.11,0.28,0.17,0.117,138,9.81,21.8,35.2,7.207,61.322,8.508,29.47,0.375
"775","37",1996-05-09,14:16:30,8.54,7.99,0,0.154,7.57,265,71.4,0.1,14:00:00,86,152,15.71,15.1,75.7,0,3.62,0.61,0.001,0.01,0,1.02,0.92,0.1,0,0.02,62.1,0,7.52,55.3,0,0.3,0.9,6.16,6.69,0.05,0.1,0.09,0.008,6.1,2.57,15.1,12,7.361,197.434,26.822,NA,0.31
"776","37",1996-05-09,14:16:53,7.66,7.91,-0.4,0.143,7.56,266,69.3,0.1,14:00:00,86,152,15.71,15.1,75.7,0,3.62,0.61,0.001,0.01,0,1.02,0.92,0.1,0,0.02,62.1,0,7.52,55.3,0,0.3,0.9,6.16,6.69,0.05,0.1,0.09,0.008,6.1,2.57,15.1,12,7.361,197.434,26.822,NA,0.31
