"","Depth_cm","Pond","Date","Be_ppm","B_ppm","Al_ppm","Li_ppm","Ga_ppm","Na_ppm","Mg_ppm","K_ppm","Ti_ppm","Si_ppm","Ca_ppm","Fe_ppm","V_ppm","Cr_ppm","Mn_ppm","Co_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Rb_ppm","Sr_ppm","P_ppm","S_ppm","As_ppm","Se_ppm","Mo_ppm","Cd_ppm","Cs_ppm","Ba_ppm","Ce_ppm","Pb_ppm","Th_ppm","U_ppm","Depth_cm_sum"
"31","8-10",1,2023-07-28,"","","","","196.6","","","","964","338500","13600","7468","129.7","66.86","346.4","BDL","1.715","BDL","144.1","185.9","801.7","545.5","6248","114.5","88.6","80.09","1.345","23.01","537.1","20.33","9.5","42.18","39.59",-8
"32","10-12",1,2023-07-28,"","","","","191.6","","","","897.7","273400","7882","5589","123.4","62.7","290.9","BDL","BDL","BDL","137.4","174.6","761.2","418.6","5156","110.1","87.57","78.96","1.244","22.63","410.3","15.57","7.046","41.31","38.79",-10
"33","14-16",1,2023-07-28,"","","","","200","","","","945.2","315700","13620","6441","130.5","67.06","328.1","BDL","0.9747","BDL","143.3","182.6","827.6","998.9","4723","113.7","91.23","82.32","1.362","23.62","467.1","BDL","8.9","42.93","40.99",-14
"34","18-22",1,2023-07-28,"","","","","186.8","","","","748.9","297000","10220","6069","118","60.85","314","BDL","0.8184","BDL","132.4","171","758.2","456.3","4298","109","84.04","76","1.298","21.72","439.4","15.07","7.937","39.59","37.46",-18
"35","0-2",109,2023-07-28,"","","","","193.4","","","","2325","283900","6336","15010","163.8","75.8","420.5","BDL","9.694","BDL","186.4","196.2","747.7","740.1","3987","109.4","85.78","77.53","1.461","23.28","591.3","35","13.37","42.37","38.57",0
"36","2-4",109,2023-07-28,"","","","","199.4","","","","2187","281000","6795","15080","168.4","77.19","405.7","BDL","11.92","BDL","181.5","199.9","775","679.1","4357","110.8","89.83","80.65","1.624","24.28","606.6","35.48","13.91","44.58","40.22",-2
"37","4-6",109,2023-07-28,"","","","","201.5","","","","2490","284700","7031","17540","177.4","81.61","449.3","BDL","14.05","1.034","196.8","205.7","783.2","771","6101","113.2","90.12","80.89","1.696","24.31","631","38.8","14.68","44.67","40.39",-4
"38","6-8",109,2023-07-28,"","","","","194.9","","","","2260","281200","8831","15940","168.1","76.54","420.4","BDL","11.59","BDL","182.7","203.4","762.9","698.4","5927","111.4","86.87","78.33","1.548","24.04","635.3","40.74","13.4","44.74","39.07",-6
"39","8-10",109,2023-07-28,"","","","","197.3","","","","2292","289500","7103","14390","164.4","75.33","413.6","BDL","9.982","BDL","175.1","192.7","770.5","673.4","5244","112.1","87.51","79.24","1.528","23.61","623.3","37.09","12.69","44.16","39.62",-8
"40","10-12",109,2023-07-28,"","","","","200.4","","","","2428","313100","7837","16510","172.3","77.67","432.1","BDL","11.7","1.642","187.2","197.8","780.5","726.1","6567","113.7","88.84","79.92","1.544","23.96","650.5","38.2","13.88","44.43","40.1",-10
"41","12-14",109,2023-07-28,"","","","","199.1","","","","2111","277200","5965","13940","164.8","76.17","396.4","BDL","10.18","BDL","182.3","196.3","769.4","692.4","5125","115.6","89.53","80.17","1.492","23.83","596.9","35.37","12.49","44.43","40.16",-12
"42","14-16",109,2023-07-28,"","","","","192.7","","","","2238","286400","7872","14030","161.5","74.3","369.6","BDL","9.487","BDL","184.8","197.1","760.6","691.3","4809","109.4","86.35","77.36","1.555","23.57","634.7","37.36","12.57","43.26","39.01",-14
"43","18-22",109,2023-07-28,"","","","","198.5","","","","2092","283700","5428","13400","163.3","75.44","356","BDL","8.227","BDL","178.8","193.5","769.7","676.6","4725","112.8","88.4","80.22","1.493","23.69","609.1","34.19","12.52","43.68","40.5",-18
"44","0-2",125,2023-07-28,"","","","","191.2","","","","1024","125400","84770","9301","137.8","66.69","601.8","BDL","7.362","BDL","172.7","169.7","920.9","1135","13920","113.8","88.84","80.37","1.557","22.92","446.9","18.55","6.445","42.67","44.26",0
"45","2-4",125,2023-07-28,"","","","","180.9","","","","1096","122400","69640","9884","135.8","63.94","558.5","BDL","10.46","BDL","180","157.2","844.2","1113","17250","106.9","83.13","76.1","1.482","21.31","399.9","16.6","7.133","39.75","43.58",-2
"46","4-6",125,2023-07-28,"","","","","190.4","","","","1068","137800","45960","10610","144.1","67.1","476.5","BDL","10.07","BDL","194.5","169.1","830.4","1090","19750","114.3","88.1","80.63","1.553","22.75","422.7","18.61","7.887","41.99","46.59",-4
"47","6-8",125,2023-07-28,"","","","","187.2","","","","903.1","109800","24990","8492","134","64.25","346.5","BDL","6.197","BDL","182.2","166.5","758.6","842.1","17240","111.3","86.66","78.48","1.574","22.6","367.8","17.93","6.249","41.65","42.16",-6
"48","8-10",125,2023-07-28,"","","","","193.5","","","","985","142800","22050","11830","142.8","67.03","327.4","BDL","8.063","BDL","199.2","176.3","776.8","883.7","22980","115.4","89.54","81.45","1.7","23.41","398.3","21.07","7.519","43.18","48.28",-8
"49","10-12",125,2023-07-28,"","","","","194","","","","1360","190600","50340","13340","148.6","69.75","445.8","BDL","9.945","BDL","180.5","174.9","891.4","780.6","17550","113","89.01","80.27","1.619","22.99","453.7","18.96","301.2","42.73","42.43",-10
"50","14-16",125,2023-07-28,"","","","","188.3","","","","1694","197300","12820","14400","151.9","71.16","377.6","14.25","12.98","0.6935","176.9","173.8","741.8","766.5","17950","107.9","85.5","76.72","1.548","22.52","477.9","29.77","10.23","41.52","40.39",-14
"51","18-22",125,2023-07-28,"","","","","201.8","","","","1996","219300","15230","17440","174","78.96","419.2","16.03","16.53","2.024","198.2","194.2","802.5","862.3","22560","118.6","91.13","82.32","1.742","24.35","552.4","38.01","11.05","45.17","44.05",-18
"52","22-26",125,2023-07-28,"","","","","194.3","","","","1570","249400","17120","12530","150.3","72.22","366.7","BDL","11.13","BDL","172.3","179.6","803.3","716.4","17190","114.4","88.24","79.3","1.532","22.98","528.6","26.42","10.05","42.13","41.69",-22
"53","0-2",1,2023-07-28,"","","","","184.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"54","2-4",1,2023-07-28,"","","","","190.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2
"55","4-6",1,2023-07-28,"","","","","196.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4
"56","6-8",1,2023-07-28,"","","","","195.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-6
"57","8-10",1,2023-07-28,"","","","","196.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-8
"58","10-12",1,2023-07-28,"","","","","191.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10
"59","12-14",1,2023-07-28,"","","","","BDL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-12
"60","14-16",1,2023-07-28,"","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-14
"61","18-22",1,2023-07-28,"","","","","186.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-18
"62","22-26",1,2023-07-28,"","","","","BDL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-22
"63","0-2",109,2023-07-28,"","","","","193.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"64","2-4",109,2023-07-28,"","","","","199.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2
"65","4-6",109,2023-07-28,"","","","","201.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4
"66","6-8",109,2023-07-28,"","","","","194.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-6
"67","8-10",109,2023-07-28,"","","","","197.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-8
"68","10-12",109,2023-07-28,"","","","","200.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10
"69","12-14",109,2023-07-28,"","","","","199.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-12
"70","14-16",109,2023-07-28,"","","","","192.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-14
"71","18-22",109,2023-07-28,"","","","","198.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-18
"72","22-26",109,2023-07-28,"","","","","BDL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-22
"73","0-2",125,2023-07-28,"","","","","191.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"74","2-4",125,2023-07-28,"","","","","180.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2
"75","4-6",125,2023-07-28,"","","","","190.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4
"76","6-8",125,2023-07-28,"","","","","187.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-6
"77","8-10",125,2023-07-28,"","","","","193.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-8
"78","10-12",125,2023-07-28,"","","","","194","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10
"79","12-14",125,2023-07-28,"","","","","BDL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-12
"80","14-16",125,2023-07-28,"","","","","188.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-14
"81","18-22",125,2023-07-28,"","","","","201.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-18
"82","22-26",125,2023-07-28,"","","","","194.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-22
