WEVS 1995 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950849,65,25-Jul-95 ,206,1400,2851.14,3480,40.40,39.1,,0,,1.3,L0.01!,1.4,,2.332,2.17,0.162,0,0.04,383,39.4,8.75,0,0,311,0,367,11.4,0.002,0.064,0.042,0.022,1790,51.3,50.2,40.4,9.4,152.4,16.3,3.7,,,,,,,,,,,,,,,,,,,,,,,
951068,65,14-Aug-95 ,226,1100,2708.25,3420,37.39,36.8,,0,,0.586,L0.01!,0.035,,2.045,1.95,0.095,0,0.05,359,27.2,8.45,0,0,281,0,351,5.6,0.004,0.061,0.037,0.024,1720,46,48,41.2,7.2,63.0,8.8,4.9,,,,,,,,,,,,,,,,,,,,,,,
951242,65,28-Aug-95 ,240,1150,2967.19,3610,36.06,35.6,338.4,59.64,1.25,0.46,L0.01!,0.038,0,2.398,2.3,0.098,0,0.04,377,49.7,8.74,1645.1,1268.1,310,28.3,370,1.25,0.003,0.056,0.042,0.014,1910,47.6,53.3,48.8,5.5,84.7,15.5,2,,,,,,,,,,,,,,,,,,,,,,,
951335,65,12-Sep-95 ,255,1053,,,41.70,41.3,,,,0.403,L0.01!,0.054,0,2.671,2.61,0.061,0,,,,,,,,,,,L0.002!,0.054,0.041,0.013,,,,,7.7,79.9,10.4,2.3,,,,,,,,,,,,,,,,,,,,,,,
951822,65,17-Oct-95 ,290,1304,,,42.11,41.3,,,,0.811,L0.01!,0.045,0,2.568,2.45,0.118,0,,,,,,,,,,,L0.002!,0.062,0.048,0.014,,,,,8.0,149.4,18.6,5.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950355,66,31-May-95 ,151,1455,32813.48,27509,119.90,106,685.1,0,15.64,13.9,L0.01!,0.292,,5.190,2.84,2.35,0,IN,562,0,7.84,15789.8,15227.8,4540,38,3680,7.28,0.069,0.679,0.52,0.159,22830,900,263,256,6.9,225.4,32.7,51.9,,,,,,,,,,,,,,,,,,,,,,,
950582,66,20-Jun-95 ,171,1130,43829.91,33100,189.15,148,702.1,0,12.7,41.15,L0.01!,0.32,,7.330,1.22,6.11,0,L.01,576,0,7.94,20267.3,19691.3,5890,38.3,4770,1.31,0.032,0.854,0.205,0.649,31100,1150,321,252,7.9,163.5,20.8,136.4,,,,,,,,,,,,,,,,,,,,,,,
950727,66,12-Jul-95 ,193,1035,2824.18544,3506,207.72,158.819,,0,,48.9,0.008,0.43,,8.339,1.659,6.68,0,0.05,419,12.6,8.38,0,0,294,0,350,10.5,0.022,0.84,0.036,0.804,1760,52.4,48.2,57.6,8.5,156.8,18.4,93,,,,,,,,,,,,,,,,,,,,,,,
950850,66,25-Jul-95 ,206,1430,56338.43,40000,78.07,75.7,,0,,2.37,L0.01!,0.155,,3.513,3.2,0.313,0,0.01,376,91.6,8.78,0,0,7690,0,6400,0.82,0.01,0.114,0.072,0.042,40900,544,458,120,8.8,145.5,16.5,91.1,,,,,,,,,,,,,,,,,,,,,,,
