DATA table Built from table WEVS_96 on 27-FEB-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961461,37,18-Sep-96 ,262,1345,238.00,417.00,27.87,24.80,249.90,0.00,15.43,3.07,L0.010,0.03,0.00,2.23,1.70,0.53,0.00,0.11,205.00,0.00,7.41,184.40,0.00,0.47,0.50,20.40,13.90,0.00,0.17,0.06,0.108,4.80,3.78,31.60,40.20,6.720,73.363,10.917,141,,,,,,,,,,,,,,
961610,37,15-Oct-96 ,289,1550,258.00,444.00,28.33,25.90,273.10,0.00,16.10,2.43,L0.010,0.05,0.00,1.99,1.68,0.31,0.00,0.09,224.00,0.00,7.43,198.40,0.00,0.93,0.80,21.80,13.10,0.01,0.18,0.07,0.119,5.10,5.96,32.70,43.50,9.087,52.701,5.800,59.21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960351,50,09-May-96 ,130,1416,753.00,1114.00,23.70,19.20,140.20,0.00,3.13,4.50,L0.010,0.08,0.00,1.66,1.13,0.53,0.00,0.04,115.00,0.00,7.85,441.80,326.80,60.40,21.80,81.90,11.50,0.01,0.10,0.06,0.046,448.00,16.70,23.50,41.90,9.962,252.473,25.343,2.88,,,,,,,,,,,,,,
960509,50,10-Jun-96 ,162,1630,1753.00,2393.00,49.30,31.40,313.30,0.00,13.06,17.90,L0.010,0.53,0.00,4.08,1.96,2.12,0.00,0.11,257.00,0.00,7.58,1131.10,874.10,154.00,22.00,219.00,11.80,0.07,0.42,0.13,0.283,1040.00,37.70,44.50,91.90,9.851,163.240,16.572,8.19,,,,,,,,,,,,,,
960814,50,09-Jul-96 ,191,1550,2263.00,2916.00,43.40,37.80,423.00,0.00,13.67,5.60,L0.010,0.36,0.00,3.18,2.60,0.58,0.00,0.07,347.00,0.00,7.69,1405.80,1058.80,196.00,22.50,279.00,11.50,0.18,0.39,0.29,0.098,1370.00,42.10,52.60,103.00,11.343,147.476,13.002,3.91,,,,,,,,,,,,,,
961094,50,13-Aug-96 ,226,1435,3273.00,3832.00,48.44,46.20,592.40,0.00,6.42,2.24,L0.010,0.11,0.00,2.41,2.14,0.27,0.00,0.06,486.00,0.00,8.16,1916.30,1430.30,285.00,23.60,386.00,9.48,0.11,0.24,0.19,0.047,2040.00,59.30,70.70,131.00,9.751,123.001,12.614,,,,,,,,,,,,,,,
961462,50,18-Sep-96 ,262,1410,4084.00,4767.00,52.90,50.70,729.00,0.00,9.09,2.20,L0.010,0.11,0.00,2.22,1.96,0.26,0.00,0.11,598.00,0.00,8.10,2501.60,1903.60,367.00,23.40,513.00,3.54,0.05,0.14,0.11,0.028,2520.00,77.10,88.20,156.00,9.948,202.780,20.383,21.42,,,,,,,,,,,,,,
961609,50,15-Oct-96 ,289,1530,4690.00,5166.00,53.04,52.30,720.40,0.00,6.94,0.74,L0.010,0.22,0.00,2.40,2.33,0.07,0.00,0.11,591.00,0.00,8.21,2815.50,2224.50,396.00,22.70,585.00,2.57,0.04,0.12,0.11,0.015,3010.00,85.50,93.40,163.00,11.667,127.321,10.913,5.99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
