WEVS 1993 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pond I.D.,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930992,86,04-Aug-93 ,216,1600,223 ,426,18.68,18,220.6,0,25.99,0.683,L0.01,0.041,0,0.96 ,0.84,0.118 ,0,0.07,181,0,7.13,178,0,14.2,13.1,18.8,11.44,0.446,0.704,0.589,0.115,4.5,3.4,21.8,40.3,6.8,15.3,2.3,9.56,
931290,86,18-Aug-93 ,230,1738,222 ,370,24.88,17.1,218.2,0,6.43,7.78,L0.01,,,1.92 ,0.7,1.220 ,0,0.08,179,0,7.73,161.9,,4.48,4.9,15.5,12.39,0.319,1.2,0.386,0.814,4.9,3.4,22.1,39.3,7.4,24.6,3.3,268,
931365,86,27-Aug-93 ,239,1323,230 ,478,19.03,15.1,238.9,0,35.44,3.93,L0.01,,,1.19 ,0.459 ,0.732 ,0,0.1,196,0,7.03,186.2,,1.84,1.8,17.2,14,0.228,0.557,0.306,0.251,5.2,4.88,22.8,46.2,6.3,40.4,6.4,83.5,
931479,86,15-Sep-93 ,258,1206,207 ,380,17.24,13.1,217,0,35.3,4.14,L0.01,0.008,0,1.22 ,0.375 ,0.845 ,0,0.07,178,0,6.99,168.5,,1.98,2.2,14.6,11.9,0.07,0.424,0.196,0.228,4.9,4.27,19.5,43.4,5.7,46.8,8.2,215.5,
931707,86,14-Oct-93 ,287,1530,286 ,521,17.91,13.8,316.9,0,36.48,4.11,L0.01,0.274,0,1.22 ,0.550 ,0.669 ,0,0.1,260,0,7.14,244,,2.07,1.6,20.5,13.6,0.068,0.342,0.107,0.235,6.5,3.55,19.9,63.9,7.2,45.1,6.3,108.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930239,87,29-Apr-93 ,113,1300,140 ,252,18.83,18.5,139,0,17.54,0.334,L0.01,0.024,0,0.36 ,0.321 ,0.040 ,0,0.05,114,0,7.1,98.4,0,1.68,2.9,9.16,5.81,0.338,0.443,0.422,0.021,5,4.7,20.4,24.3,9.7,41.0,4.2,,
930328,87,13-May-93 ,133,1600,181 ,333,42.8,25.4,167,0,21.08,17.4,L0.01,0.053,0,2.64 ,0.810 ,1.830 ,0,0.07,137,0,7.1,139.2,2.2,0.72,0.9,13,13.97,0.725,1.017,0.797,0.22,5.7,5.8,25.4,34.3,11.1,204.0,18.4,31.02,
930405,87,27-May-93 ,147,1235,224 ,435,59.8,34.1,206,0,56.94,25.7,L0.01,0.178,0,5.05 ,1.94,3.110 ,0,0.08,169,0,6.76,152.1,0,4.16,4.5,13.9,13.84,1.422,2.11,1.627,0.483,12.5,8.5,31.8,38,9.6,137.2,14.2,45.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930240,90,29-Apr-93 ,113,1315,5242 ,5908,42.7,42.2,362,0,15.09,0.504,L0.01,0.063,0,0.34 ,0.259 ,0.083 ,0,0.06,297,0,7.58,2911.5,2614.5,522,27.1,615,2.94,L0.002,0.053,0.044,0.009,3520,140,112,152,7.1,144.4,20.4,,
930326,90,13-May-93 ,133,1530,9348 ,9297,78.2,76,594.9,0,35.89,2.2,L0.01,0.239,0,2.09 ,1.820 ,0.273 ,0,0.08,488,0,7.42,5409.9,4921.9,851,24.7,1180,6.89,0.02,0.203,0.127,0.076,6410,208,178,221,9.4,74.6,7.9,4.26,
930404,90,27-May-93 ,147,1140,11908 ,11670,71.45,70.6,811.9,0,31.57,0.848,L0.01,0.625,0,2.23 ,2.08,0.150 ,0,0.04,666,0,7.61,6662.5,5996.5,1170,26.8,1460,7.25,0.043,0.171,0.133,0.038,8082,286,242,261,6.6,57.5,8.7,5.68,
930507,90,10-Jun-93 ,161,1446,16080 ,14645,116.2,114,969.6,33.96,3.79,2.2,0.011,0.222,0.01,2.39 ,2.05,0.344 ,0,L.01,852,28.3,8.62,8888.3,8036.3,1640,27.7,1980,2.57,0.01,0.257,0.127,0.13,10935,382,334,295,7.5,43.6,5.9,98.4,
930716,90,23-Jun-93 ,174,1145,18535 ,15840,102.71,100,842.3,0,36.77,2.71,L0.01,0.362,0,3.45 ,2.98,0.467 ,0,SusInt,691,0,7.56,10258.1,9567.1,1730,26.1,2320,1.06,0.026,0.194,0.097,0.097,13100,354,332,283,6.8,72.0,10.6,21.1,
930765,90,08-Jul-93 ,189,1615,3859 ,4540,34.89,30.9,307.2,0,16.13,3.99,L0.01,0.061,0,1.69 ,1.13,0.558 ,0,0.05,252,0,7.48,2233.5,1981.5,383,26.3,477,10.45,0.006,0.116,0.043,0.073,2569,83.1,78.1,108,8.3,141.0,16.9,12,
