"","Pond","Analyzing_date","Date","THg_ug.kg"
"217","97/98",2023-08-18,2021-09-01,80.1743
"218","97/98",2023-08-18,2021-09-01,37.9723
"219","97/98",2023-08-18,2021-09-01,59.0074
"220","97/98",2023-08-18,2021-09-01,58.8738
"221","125",2023-08-18,2021-09-01,49.0637
"222","125",2023-08-18,2021-09-01,52.5281
"223","125",2023-08-18,2021-09-01,48.2708
"224","125",2023-08-18,2021-09-01,39.2447
"225","125",2023-08-18,2021-09-01,21.8591
"226","125",2023-08-18,2021-09-01,34.0204
