"","Depth_cm","Pond","Date","Depth_cm_sum","CharacteristicID","ResultValue"
"254","12-14",125,2023-07-28,-12,"S_ppm","BDL"
"255","12-14",125,2023-07-28,-12,"As_ppm","BDL"
"256","12-14",125,2023-07-28,-12,"Se_ppm","BDL"
"257","12-14",125,2023-07-28,-12,"Mo_ppm","BDL"
"258","12-14",125,2023-07-28,-12,"Cd_ppm","BDL"
"259","12-14",125,2023-07-28,-12,"Cs_ppm","BDL"
"260","12-14",125,2023-07-28,-12,"Ba_ppm","BDL"
"261","12-14",125,2023-07-28,-12,"Ce_ppm","BDL"
"262","12-14",125,2023-07-28,-12,"Pb_ppm","BDL"
"263","12-14",125,2023-07-28,-12,"Th_ppm","BDL"
"264","12-14",125,2023-07-28,-12,"U_ppm","BDL"
"265","8-10",1,2023-07-28,-8,"Be_ppm","26.54"
"266","8-10",1,2023-07-28,-8,"B_ppm","128.9"
"267","8-10",1,2023-07-28,-8,"Al_ppm","16360"
"268","8-10",1,2023-07-28,-8,"Li_ppm","54.26"
"269","8-10",1,2023-07-28,-8,"Ga_ppm","30.02"
"270","8-10",1,2023-07-28,-8,"Na_ppm","8966"
"271","8-10",1,2023-07-28,-8,"Mg_ppm","7344"
"272","8-10",1,2023-07-28,-8,"K_ppm","15540"
"273","8-10",1,2023-07-28,-8,"Ti_ppm","964"
"274","8-10",1,2023-07-28,-8,"Si_ppm","338500"
"275","8-10",1,2023-07-28,-8,"Ca_ppm","13600"
"276","8-10",1,2023-07-28,-8,"Fe_ppm","7468"
"277","8-10",1,2023-07-28,-8,"V_ppm","129.7"
"278","8-10",1,2023-07-28,-8,"Cr_ppm","66.86"
"279","8-10",1,2023-07-28,-8,"Mn_ppm","346.4"
"280","8-10",1,2023-07-28,-8,"Co_ppm","BDL"
"281","8-10",1,2023-07-28,-8,"Ni_ppm","1.715"
"282","8-10",1,2023-07-28,-8,"Cu_ppm","BDL"
"283","8-10",1,2023-07-28,-8,"Zn_ppm","144.1"
"284","8-10",1,2023-07-28,-8,"Rb_ppm","185.9"
"285","8-10",1,2023-07-28,-8,"Sr_ppm","801.7"
"286","8-10",1,2023-07-28,-8,"P_ppm","545.5"
"287","8-10",1,2023-07-28,-8,"S_ppm","6248"
"288","8-10",1,2023-07-28,-8,"As_ppm","114.5"
"289","8-10",1,2023-07-28,-8,"Se_ppm","88.6"
"290","8-10",1,2023-07-28,-8,"Mo_ppm","80.09"
"291","8-10",1,2023-07-28,-8,"Cd_ppm","1.345"
"292","8-10",1,2023-07-28,-8,"Cs_ppm","23.01"
"293","8-10",1,2023-07-28,-8,"Ba_ppm","537.1"
"294","8-10",1,2023-07-28,-8,"Ce_ppm","20.33"
"295","8-10",1,2023-07-28,-8,"Pb_ppm","9.5"
"296","8-10",1,2023-07-28,-8,"Th_ppm","42.18"
"297","8-10",1,2023-07-28,-8,"U_ppm","39.59"
"298","14-16",1,2023-07-28,-14,"Be_ppm","27.42"
"299","14-16",1,2023-07-28,-14,"B_ppm","138.7"
"300","14-16",1,2023-07-28,-14,"Al_ppm","12840"
"301","14-16",1,2023-07-28,-14,"Li_ppm","50.92"
"302","14-16",1,2023-07-28,-14,"Ga_ppm","29.57"
"303","14-16",1,2023-07-28,-14,"Na_ppm","8945"
"304","14-16",1,2023-07-28,-14,"Mg_ppm","5408"
"305","14-16",1,2023-07-28,-14,"K_ppm","12940"
"306","14-16",1,2023-07-28,-14,"Ti_ppm","945.2"
"307","14-16",1,2023-07-28,-14,"Si_ppm","315700"
"308","14-16",1,2023-07-28,-14,"Ca_ppm","13620"
"309","14-16",1,2023-07-28,-14,"Fe_ppm","6441"
"310","14-16",1,2023-07-28,-14,"V_ppm","130.5"
"311","14-16",1,2023-07-28,-14,"Cr_ppm","67.06"
"312","14-16",1,2023-07-28,-14,"Mn_ppm","328.1"
"313","14-16",1,2023-07-28,-14,"Co_ppm","BDL"
"314","14-16",1,2023-07-28,-14,"Ni_ppm","0.9747"
"315","14-16",1,2023-07-28,-14,"Cu_ppm","BDL"
"316","14-16",1,2023-07-28,-14,"Zn_ppm","143.3"
"317","14-16",1,2023-07-28,-14,"Rb_ppm","182.6"
"318","14-16",1,2023-07-28,-14,"Sr_ppm","827.6"
"319","14-16",1,2023-07-28,-14,"P_ppm","998.9"
"320","14-16",1,2023-07-28,-14,"S_ppm","4723"
"321","14-16",1,2023-07-28,-14,"As_ppm","113.7"
"322","14-16",1,2023-07-28,-14,"Se_ppm","91.23"
"323","14-16",1,2023-07-28,-14,"Mo_ppm","82.32"
"324","14-16",1,2023-07-28,-14,"Cd_ppm","1.362"
"325","14-16",1,2023-07-28,-14,"Cs_ppm","23.62"
"326","14-16",1,2023-07-28,-14,"Ba_ppm","467.1"
"327","14-16",1,2023-07-28,-14,"Ce_ppm","BDL"
"328","14-16",1,2023-07-28,-14,"Pb_ppm","8.9"
"329","14-16",1,2023-07-28,-14,"Th_ppm","42.93"
"330","14-16",1,2023-07-28,-14,"U_ppm","40.99"
"331","6-8",1,2023-07-28,-6,"Be_ppm","26.34"
"332","6-8",1,2023-07-28,-6,"B_ppm","126.4"
"333","6-8",1,2023-07-28,-6,"Al_ppm","BDL"
"334","6-8",1,2023-07-28,-6,"Li_ppm","48.96"
"335","6-8",1,2023-07-28,-6,"Ga_ppm","28.85"
"336","6-8",1,2023-07-28,-6,"Na_ppm","8624"
"337","6-8",1,2023-07-28,-6,"Mg_ppm","6056"
"338","6-8",1,2023-07-28,-6,"K_ppm","13960"
"339","6-8",1,2023-07-28,-6,"Ti_ppm","1071"
"340","6-8",1,2023-07-28,-6,"Si_ppm","313800"
"341","6-8",1,2023-07-28,-6,"Ca_ppm","12290"
"342","6-8",1,2023-07-28,-6,"Fe_ppm","8049"
"343","6-8",1,2023-07-28,-6,"V_ppm","130.2"
"344","6-8",1,2023-07-28,-6,"Cr_ppm","67.45"
"345","6-8",1,2023-07-28,-6,"Mn_ppm","354"
"346","6-8",1,2023-07-28,-6,"Co_ppm","BDL"
"347","6-8",1,2023-07-28,-6,"Ni_ppm","2.373"
"348","6-8",1,2023-07-28,-6,"Cu_ppm","BDL"
"349","6-8",1,2023-07-28,-6,"Zn_ppm","143.4"
"350","6-8",1,2023-07-28,-6,"Rb_ppm","182"
"351","6-8",1,2023-07-28,-6,"Sr_ppm","790.4"
"352","6-8",1,2023-07-28,-6,"P_ppm","526.2"
"353","6-8",1,2023-07-28,-6,"S_ppm","6566"
"354","6-8",1,2023-07-28,-6,"As_ppm","110.1"
"355","6-8",1,2023-07-28,-6,"Se_ppm","88.44"
"356","6-8",1,2023-07-28,-6,"Mo_ppm","79.86"
"357","6-8",1,2023-07-28,-6,"Cd_ppm","1.36"
"358","6-8",1,2023-07-28,-6,"Cs_ppm","23.05"
"359","6-8",1,2023-07-28,-6,"Ba_ppm","483"
"360","6-8",1,2023-07-28,-6,"Ce_ppm","17.83"
"361","6-8",1,2023-07-28,-6,"Pb_ppm","8.955"
"362","6-8",1,2023-07-28,-6,"Th_ppm","41.92"
"363","6-8",1,2023-07-28,-6,"U_ppm","39.32"
"364","10-12",109,2023-07-28,-10,"Be_ppm","26.83"
"365","10-12",109,2023-07-28,-10,"B_ppm","163.6"
"366","10-12",109,2023-07-28,-10,"Al_ppm","39870"
"367","10-12",109,2023-07-28,-10,"Li_ppm","58.24"
"368","10-12",109,2023-07-28,-10,"Ga_ppm","32.63"
"369","10-12",109,2023-07-28,-10,"Na_ppm","7518"
"370","10-12",109,2023-07-28,-10,"Mg_ppm","5477"
"371","10-12",109,2023-07-28,-10,"K_ppm","19110"
"372","10-12",109,2023-07-28,-10,"Ti_ppm","2428"
"373","10-12",109,2023-07-28,-10,"Si_ppm","313100"
"374","10-12",109,2023-07-28,-10,"Ca_ppm","7837"
"375","10-12",109,2023-07-28,-10,"Fe_ppm","16510"
"376","10-12",109,2023-07-28,-10,"V_ppm","172.3"
"377","10-12",109,2023-07-28,-10,"Cr_ppm","77.67"
"378","10-12",109,2023-07-28,-10,"Mn_ppm","432.1"
"379","10-12",109,2023-07-28,-10,"Co_ppm","BDL"
"380","10-12",109,2023-07-28,-10,"Ni_ppm","11.7"
"381","10-12",109,2023-07-28,-10,"Cu_ppm","1.642"
"382","10-12",109,2023-07-28,-10,"Zn_ppm","187.2"
"383","10-12",109,2023-07-28,-10,"Rb_ppm","197.8"
