1997 Hydrolab Data from St.Denis NWA ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Deg. C,,mS/cm,ppt,,mg/l,mV,m,HHMM,,
ID,Month,Temperature,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
37,April,9.23,7.96,0.147,0.1,82.6,8.98,314,0.5,1357,,
37,May,8.85,8,0.272,0.1,71,7.84,332,0.6,1332,,
37,June,19.42,7.46,0.333,0.2,17.8,1.55,332,0.4,1054,,
37,July,22.86,7.22,0.41,0.2,21.4,1.74,315,0.4,1004,,
37,August,21.18,7.36,0.45,0.2,48.4,4.07,343,0.4,1325,,
37,September,12.57,7.83,0.444,0.2,70.4,7.03,363,0.3,1522,,
37,October,5.75,8.21,0.458,0.2,80.8,9.5,343,0.3,1445,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
50,April,10.04,7.81,1.479,0.8,101.4,10.77,300,0,1418,,
50,May,10.8,7.91,2.76,1.5,89,9.31,352,0,1358,,
50,June,19.37,7.54,1.056,0.6,23,2,321,0,1115,,
50,July,23.75,7.83,3.81,2.1,72.8,5.72,62,0,1026,,
50,August,21.18,8.04,4.24,2.3,108.2,8.97,347,0,1341,,
50,September,11.81,8.3,4.7,2.6,21.3,2.13,370,0,1505,,
50,October,4.25,8.35,4.93,2.7,106.1,12.74,354,0,1458,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
50,April,7.31,7.89,1.47,0.8,100.5,11.39,283,0.4,1419,,
50,May,8.1,7.99,2.76,1.5,90.6,10.1,350,0.5,1359,,
50,June,19.25,7.54,3.21,1.7,17.3,1.49,304,0.6,1115,,
50,July,23.49,7.77,3.86,2.1,58.4,4.62,21,0.2,1027,,
50,August,20.76,8.04,4.25,2.3,102.7,8.59,347,0.3,1343,,
50,September,11.83,8.31,4.71,2.6,16.0,1.6,369,0.4,1506,,
50,October,4.21,8.38,4.91,2.7,103.4,12.42,353,0.5,1459,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
60,April,9.3,7.81,165,0.1,112.4,12.21,305,0,1516,,
60,May,7.35,8.01,0.234,0.1,56.3,6.45,316,0,1417,,
60,June,18.17,7.4,0.252,0.1,18.3,1.64,284,0,1130,,
60,July,21.84,7.3,0.347,0.2,31,2.56,203,0,1044,,
60,August,21.6,7.28,0.391,0.2,72.2,6.03,342,0,1357,,
60,September,14.78,8.27,0.361,0.2,127.8,12.16,359,0,1453,,
60,October,Dry,,,,,,,0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
60,April,7.64,7.75,168,0.1,93.3,10.54,308,0.6,1517,,
60,May,7.27,7.82,0.236,0.1,52.3,6,318,0.6,1419,,
60,June,18.03,7.18,0.255,0.1,12.3,1.1,0.282,0.6,11.3,,
60,July,19.95,7.12,0.36,0.2,8.4,0.72,190,0.3,1046,,
60,August,20.91,7.19,0.402,0.2,73.1,6.18,347,0.1,1359,,
60,September,Low,Water,Level,,,,,,,,
60,October,Dry,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
65,April,6,7.59,1.86,1,75.4,8.82,329,0,1202,,
65,May,6.48,8.48,2.52,1.4,94.4,10.96,350,0,1109,,
65,June,19.18,8.32,0.859,0.4,73.5,6.43,298,0,1235,,
65,July,23.93,7.92,2.86,1.5,33.4,2.63,172,0,1116,,
65,August,20.59,8.21,3.17,1.7,114.9,9.68,300,0,1239,,
65,September,11.11,8.46,1.398,0.7,102.7,10.57,351,0,1412,,
65,October,3.63,8.71,3.3,1.8,108.4,13.31,333,0,1416,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
65,April,5.7,7.62,1.83,1,70.9,8.35,326,0.5,1203,,
65,May,6.41,8.5,2.51,1.4,94.6,11,343,0.5,1112,,
65,June,19.21,8.32,2.6,1.4,71.8,6.24,0.297,0.4,1235,,
65,July,23.96,7.89,2.98,1.6,32,2.51,104,0.5,1119,,
65,August,20.57,8.19,3.13,1.7,115.4,9.72,303,0.1,1240,,
65,September,11.16,8.45,3.47,1.9,102.3,10.43,352,0.4,1412,,
65,October,3.65,8.66,3.54,1.9,104.5,12.82,335,0.4,1417,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
66,April,6.66,8.14,6.46,3.6,99.2,11.21,313,0,1211,,
66,May,6.33,8.74,3.63,2,100.1,11.61,360,0,1059,,
66,June,18.94,8.62,11.4,6.5,98.9,8.35,303,0,1216,,
66,July,23.81,8.96,13.39,7.7,110.2,8.36,193,0,1106,,
66,August,20.59,8.99,15.1,8.8,126.2,10.16,308,0,1229,,
66,September,11.08,8.01,6.2,3.5,98.3,9.93,365,0,1403,,
66,October,4.66,7.95,18.2,10.7,102.5,11.52,360,0,1406,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
66,April,6.79,8.21,6.37,3.5,98.8,11.13,311,0.2,1212,,
66,May,6.33,8.75,10.28,5.8,99.4,11.23,360,0.4,1100,,
66,June,18.92,8.64,11.29,6.4,99.9,8.44,301,0.4,1216,,
66,July,23.81,8.97,13.48,7.8,108.5,8.22,191,0.2,1108,,
66,August,20.59,9.01,15.1,8.8,125.1,10.07,307,0.3,1230,,
66,September,11.09,8.07,17.0,10.0,95.5,9.24,366,0.3,1404,,
66,October,4.58,8.34,18.9,11.2,101,11.34,353,0.4,1408,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
67,April,6046,7.97,0.863,0.4,82.7,9.6,316,0,1231,,
67,May,7.33,8.45,1.416,0.7,91.4,10.43,391,0,1040,,
67,June,19.78,7.74,3.99,2.2,21.2,1.81,304,0,1203,,
67,July,24.27,7.9,4.47,2.4,44.3,3.44,214,0,1134,,
67,August,20.09,8.25,4.78,2.6,94.1,7.96,308,0,1211,,
67,September,11.85,8.84,3.67,2.0,122.0,12.23,346,0,1350,,
67,October,3.5,8.95,5.16,2.8,106.4,13.01,352,0,1354,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
67,April,6.21,7.97,2.48,1.3,82.8,9.61,317,0.4,1132,,
67,May,7.28,8.5,3.82,2.1,89.2,10.1,385,0.6,1042,,
67,June,19.78,7.79,4.06,2.2,19.5,1.66,298,0.5,1203,,
67,July,24.37,7.9,4.48,2.5,43,3.33,206,0.5,1135,,
67,August,20.08,8.25,4.76,2.6,91.5,7.74,311,0.4,1212,,
67,September,11.88,8.86,5.0,2.7,116.9,11.65,345,0.4,1351,,
