OID_,ID,WETLAND_NO,CLASS,POINT_X,POINT_Y
78,78,90,4.000000000000000,426177.876899999973830,5784364.229199999943376
79,79,92,2.000000000000000,426406.599500000011176,5784585.968000000342727
80,80,94,3.000000000000000,426502.628099999972619,5784861.831899999640882
81,81,95,3.000000000000000,426444.137899999972433,5784872.307699999772012
82,82,96,3.000000000000000,426450.248800000001211,5784942.146700000390410
83,83,97,3.000000000000000,426349.855299999995623,5784903.735199999995530
84,84,98,3.000000000000000,426304.460000000020955,5784779.771099999547005
85,85,99,3.000000000000000,426110.656900000001770,5784761.438400000333786
86,86,100,3.000000000000000,426163.036100000026636,5784860.085900000296533
87,87,101,3.000000000000000,426122.878700000001118,5784874.053700000047684
88,88,103,3.000000000000000,425944.789300000004005,5784881.037600000388920
89,89,105,3.000000000000000,425984.946699999971315,5784663.663800000213087
90,90,106,3.000000000000000,425818.206200000015087,5784618.268500000238419
91,91,107,3.000000000000000,425782.413699999975506,5784679.377600000239909
92,92,109,3.000000000000000,425811.222300000023097,5784814.690600000321865
93,93,110,3.000000000000000,425681.147200000006706,5784730.883799999952316
94,94,111,3.000000000000000,425633.132900000025984,5784690.726400000043213
95,95,113,3.000000000000000,425661.941500000015367,5784888.894500000402331
96,96,117,3.000000000000000,425833.919999999983702,5785016.350599999539554
97,97,118,3.000000000000000,425904.631899999978486,5784912.465099999681115
98,98,119,3.000000000000000,425972.724899999971967,5784946.511599999852479
99,99,120,3.000000000000000,426035.580000000016298,5785046.032100000418723
100,100,122,3.000000000000000,426156.052199999976438,5784933.416799999773502
101,101,124,3.000000000000000,426177.876899999973830,5785116.744099999777973
102,102,125S,3.000000000000000,426125.497600000002421,5785179.599200000055134
103,103,125N,3.000000000000000,426115.894800000009127,5785312.293200000189245
104,104,126,3.000000000000000,426218.907300000020768,5785190.947999999858439
105,105,127,3.000000000000000,426280.889299999980722,5785226.740500000305474
106,106,128,3.000000000000000,426308.824900000006892,5785107.141200000420213
107,107,129,3.000000000000000,426460.724700000020675,5785181.345099999569356
108,108,130,2.000000000000000,426370.806999999971595,5785168.250300000421703
109,109,131,3.000000000000000,426357.712200000009034,5785281.738599999807775
110,110,132,3.000000000000000,426378.663899999985006,5785417.051599999889731
111,111,133,3.000000000000000,426410.964399999997113,5785543.634800000116229
112,112,135,3.000000000000000,426268.667499999981374,5785492.128499999642372
113,113,136,3.000000000000000,426265.175600000016857,5785541.888799999840558
114,114,137,3.000000000000000,426019.866199999989476,5785645.774199999868870
115,115,139,3.000000000000000,425985.819699999992736,5785446.733199999667704
116,116,140,3.000000000000000,425860.982599999988452,5785287.849499999545515
117,117,147,3.000000000000000,425764.448299999989104,5785642.568300000391901
